no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h	pre_a_1h_download	pre_b_1h_download	pre_a_2h_download	pre_b_2h_download
587	2011-01-09	23:08:15	2011-01-10	01:08:59	45	315	*	*	*	*	*	*	*	2011-01-09 23:08:15	2011-01-10 01:08:59	2011-01-09 22:08:15	2011-01-10 00:08:59	2011-01-09 21:08:15	2011-01-09 23:08:59	/gehme/data/stereo/secchi/L0/a/img/cor2/20110109/20110109_215400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110109/20110109_235400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110109/20110109_205400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110109/20110109_225400_d4c2B.fts
588	2011-01-11	00:08:15	2011-01-11	01:08:58	270	90	*	*	*	*	*	*	*	2011-01-11 00:08:15	2011-01-11 01:08:58	2011-01-10 23:08:15	2011-01-11 00:08:58	2011-01-10 22:08:15	2011-01-10 23:08:58	/gehme/data/stereo/secchi/L0/a/img/cor2/20110110/20110110_225400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110110/20110110_235400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110110/20110110_215400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110110/20110110_225400_d4c2B.fts
589	2011-01-12	00:08:15	2011-01-12	00:08:58	315	45	*	*	*	*	*	*	*	2011-01-12 00:08:15	2011-01-12 00:08:58	2011-01-11 23:08:15	2011-01-11 23:08:58	2011-01-11 22:08:15	2011-01-11 22:08:58	/gehme/data/stereo/secchi/L0/a/img/cor2/20110111/20110111_225400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110111/20110111_225400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110111/20110111_215400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110111/20110111_215400_d4c2B.fts
590	2011-01-12	10:08:15	2011-01-12	11:08:58	90/270	90/270	*	*	*	*	*	*	*	2011-01-12 10:08:15	2011-01-12 11:08:58	2011-01-12 09:08:15	2011-01-12 10:08:58	2011-01-12 08:08:15	2011-01-12 09:08:58	/gehme/data/stereo/secchi/L0/a/img/cor2/20110112/20110112_085400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110112/20110112_100800_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110112/20110112_075400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110112/20110112_090800_d4c2B.fts
591	2011-01-13	02:08:15	2011-01-13	*	135	*	*	*	*	*	*	*	*	2011-01-13 02:08:15		2011-01-13 01:08:15	NaT	2011-01-13 00:08:15	NaT	/gehme/data/stereo/secchi/L0/a/img/cor2/20110113/20110113_005400_d4c2A.fts	*	/gehme/data/stereo/secchi/L0/a/img/cor2/20110112/20110112_235400_d4c2A.fts	*
592	2011-01-13	10:08:15	2011-01-13	10:08:58	360	360	*	*	*	*	*	*	*	2011-01-13 10:08:15	2011-01-13 10:08:58	2011-01-13 09:08:15	2011-01-13 09:08:58	2011-01-13 08:08:15	2011-01-13 08:08:58	/gehme/data/stereo/secchi/L0/a/img/cor2/20110113/20110113_090800_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110113/20110113_090800_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110113/20110113_080800_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110113/20110113_080800_d4c2B.fts
593	2011-01-14	05:08:15	2011-01-14	06:08:58	360	360	*	*	*	*	*	*	*	2011-01-14 05:08:15	2011-01-14 06:08:58	2011-01-14 04:08:15	2011-01-14 05:08:58	2011-01-14 03:08:15	2011-01-14 04:08:58	/gehme/data/stereo/secchi/L0/a/img/cor2/20110114/20110114_035400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110114/20110114_045400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110114/20110114_025400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110114/20110114_035400_d4c2B.fts
594	2011-01-16	19:08:15	2011-01-16	20:08:57	90	270	*	*	*	*	*	*	*	2011-01-16 19:08:15	2011-01-16 20:08:57	2011-01-16 18:08:15	2011-01-16 19:08:57	2011-01-16 17:08:15	2011-01-16 18:08:57	/gehme/data/stereo/secchi/L0/a/img/cor2/20110116/20110116_175400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110116/20110116_190800_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110116/20110116_165400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110116/20110116_180800_d4c2B.fts
595	2011-01-18	05:08:15	2011-01-18	05:08:57	315	45	*	*	*	*	*	*	*	2011-01-18 05:08:15	2011-01-18 05:08:57	2011-01-18 04:08:15	2011-01-18 04:08:57	2011-01-18 03:08:15	2011-01-18 03:08:57	/gehme/data/stereo/secchi/L0/a/img/cor2/20110118/20110118_035400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110118/20110118_035400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110118/20110118_025400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110118/20110118_025400_d4c2B.fts
596	2011-01-19	16:08:15	2011-01-19	19:08:57	90	270	*	*	*	*	*	*	*	2011-01-19 16:08:15	2011-01-19 19:08:57	2011-01-19 15:08:15	2011-01-19 18:08:57	2011-01-19 14:08:15	2011-01-19 17:08:57	/gehme/data/stereo/secchi/L0/a/img/cor2/20110119/20110119_145400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110119/20110119_175400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110119/20110119_135400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110119/20110119_165400_d4c2B.fts
