no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h	pre_a_1h_download	pre_b_1h_download	pre_a_2h_download	pre_b_2h_download
541	2010-11-13	11:08:15	2010-11-13	13:09:12	90	270	258.983	91.330	84.141	-83.512	84.526	83.202	*	2010-11-13 11:08:15	2010-11-13 13:09:12	2010-11-13 10:08:15	2010-11-13 12:09:12	2010-11-13 09:08:15	2010-11-13 11:09:12	/gehme/data/stereo/secchi/L0/a/img/cor2/20101113/20101113_100800_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101113/20101113_115400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101113/20101113_090800_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101113/20101113_105400_d4c2B.fts
542	2010-11-13	20:08:15	2010-11-13	20:09:12	90	270	254.053	86.335	84.155	-83.564	84.536	83.257	*	2010-11-13 20:08:15	2010-11-13 20:09:12	2010-11-13 19:08:15	2010-11-13 19:09:12	2010-11-13 18:08:15	2010-11-13 18:09:12	/gehme/data/stereo/secchi/L0/a/img/cor2/20101113/20101113_185400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101113/20101113_185400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101113/20101113_175400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101113/20101113_175400_d4c2B.fts
543	2010-11-14	00:08:15	2010-11-14	02:09:12	270/90	90/225	251.862	84.115	84.161	*	*	*	*	2010-11-14 00:08:15	2010-11-14 02:09:12	2010-11-13 23:08:15	2010-11-14 01:09:12	2010-11-13 22:08:15	2010-11-14 00:09:12	/gehme/data/stereo/secchi/L0/a/img/cor2/20101113/20101113_225400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101114/20101114_005400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101113/20101113_215400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101113/20101113_235400_d4c2B.fts
544	2010-11-14	19:08:15	2010-11-14	19:09:12	270	90	241.454	73.570	84.190	-83.694	*	*	*	2010-11-14 19:08:15	2010-11-14 19:09:12	2010-11-14 18:08:15	2010-11-14 18:09:12	2010-11-14 17:08:15	2010-11-14 17:09:12	/gehme/data/stereo/secchi/L0/a/img/cor2/20101114/20101114_180800_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101114/20101114_175400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101114/20101114_170800_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101114/20101114_165400_d4c2B.fts
545	2010-11-15	18:08:15	2010-11-15	18:09:11	90	225	228.856	60.806	84.225	-83.825	84.586	83.540	*	2010-11-15 18:08:15	2010-11-15 18:09:11	2010-11-15 17:08:15	2010-11-15 17:09:11	2010-11-15 16:08:15	2010-11-15 16:09:11	/gehme/data/stereo/secchi/L0/a/img/cor2/20101115/20101115_165400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101115/20101115_165400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101115/20101115_155400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101115/20101115_155400_d4c2B.fts
546	2010-11-16	14:08:15	2010-11-16	15:09:11	135	225	217.901	49.708	84.255	-83.938	84.608	83.662	*	2010-11-16 14:08:15	2010-11-16 15:09:11	2010-11-16 13:08:15	2010-11-16 14:09:11	2010-11-16 12:08:15	2010-11-16 13:09:11	/gehme/data/stereo/secchi/L0/a/img/cor2/20101116/20101116_125400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101116/20101116_135400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101116/20101116_115400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101116/20101116_125400_d4c2B.fts
547	2010-11-19	05:08:15	2010-11-19	08:09:11	135	225	183.394	14.749	84.353	-84.292	84.675	84.048	*	2010-11-19 05:08:15	2010-11-19 08:09:11	2010-11-19 04:08:15	2010-11-19 07:09:11	2010-11-19 03:08:15	2010-11-19 06:09:11	/gehme/data/stereo/secchi/L0/a/img/cor2/20101119/20101119_035400_d4c2A.fts	No img/double data	/gehme/data/stereo/secchi/L0/a/img/cor2/20101119/20101119_025400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101119/20101119_053924_d4c2B.fts
548	2010-11-20	*	2010-11-20	07:09:11	*	360	169.144	0.314	84.393	-84.437	84.702	84.207	168.908		2010-11-20 07:09:11	NaT	2010-11-20 06:09:11	NaT	2010-11-20 05:09:11	*	/gehme/data/stereo/secchi/L0/b/img/cor2/20101120/20101120_055400_d4c2B.fts	*	/gehme/data/stereo/secchi/L0/b/img/cor2/20101120/20101120_045400_d4c2B.fts
549	2010-11-22	01:08:15	2010-11-22	03:09:10	360/90	360/270	146.150	337.022	84.458	-84.671	*	*	*	2010-11-22 01:08:15	2010-11-22 03:09:10	2010-11-22 00:08:15	2010-11-22 02:09:10	2010-11-21 23:08:15	2010-11-22 01:09:10	/gehme/data/stereo/secchi/L0/a/img/cor2/20101121/20101121_235400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101122/20101122_015400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101121/20101121_230800_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101122/20101122_005400_d4c2B.fts
550	2010-11-23	13:08:15	2010-11-23	14:09:10	315	45	126.434	317.051	84.514	-84.870	84.780	*	*	2010-11-23 13:08:15	2010-11-23 14:09:10	2010-11-23 12:08:15	2010-11-23 13:09:10	2010-11-23 11:08:15	2010-11-23 12:09:10	/gehme/data/stereo/secchi/L0/a/img/cor2/20101123/20101123_115400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101123/20101123_125400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101123/20101123_110800_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101123/20101123_115400_d4c2B.fts
551	2010-11-24	09:08:15	2010-11-24	10:09:10	135	270	115.481	305.956	84.545	-84.980	84.800	84.803	*	2010-11-24 09:08:15	2010-11-24 10:09:10	2010-11-24 08:08:15	2010-11-24 09:09:10	2010-11-24 07:08:15	2010-11-24 08:09:10	/gehme/data/stereo/secchi/L0/a/img/cor2/20101124/20101124_075400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101124/20101124_085400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101124/20101124_065400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101124/20101124_075400_d4c2B.fts
552	2010-11-26	00:08:15	2010-11-26	01:09:10	225	135	94.123	284.324	84.605	-85.194	84.837	*	*	2010-11-26 00:08:15	2010-11-26 01:09:10	2010-11-25 23:08:15	2010-11-26 00:09:10	2010-11-25 22:08:15	2010-11-25 23:09:10	/gehme/data/stereo/secchi/L0/a/img/cor2/20101125/20101125_225400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101125/20101125_235400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101125/20101125_215400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101125/20101125_225400_d4c2B.fts
553	2010-11-26	11:08:15	2010-11-26	11:09:10	225	135	88.099	278.222	84.622	-85.254	84.847	*	*	2010-11-26 11:08:15	2010-11-26 11:09:10	2010-11-26 10:08:15	2010-11-26 10:09:10	2010-11-26 09:08:15	2010-11-26 09:09:10	/gehme/data/stereo/secchi/L0/a/img/cor2/20101126/20101126_095400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101126/20101126_095400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101126/20101126_085400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101126/20101126_085400_d4c2B.fts
554	2010-11-27	04:08:15	2010-11-27	04:09:10	225	135	78.789	268.794	84.648	-85.347	84.863	*	*	2010-11-27 04:08:15	2010-11-27 04:09:10	2010-11-27 03:08:15	2010-11-27 03:09:10	2010-11-27 02:08:15	2010-11-27 02:09:10	/gehme/data/stereo/secchi/L0/a/img/cor2/20101127/20101127_025400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101127/20101127_025400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101127/20101127_015400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101127/20101127_015400_d4c2B.fts
555	2010-11-29	07:08:15	2010-11-29	08:09:09	90	270	50.860	240.509	84.727	-85.624	84.909	85.518	*	2010-11-29 07:08:15	2010-11-29 08:09:09	2010-11-29 06:08:15	2010-11-29 07:09:09	2010-11-29 05:08:15	2010-11-29 06:09:09	/gehme/data/stereo/secchi/L0/a/img/cor2/20101129/20101129_055400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101129/20101129_065400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101129/20101129_045400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101129/20101129_055400_d4c2B.fts
556	2010-11-29	23:08:15	2010-11-29	23:09:09	135/270	45/225	42.099	231.637	84.751	-85.711	*	*	*	2010-11-29 23:08:15	2010-11-29 23:09:09	2010-11-29 22:08:15	2010-11-29 22:09:09	2010-11-29 21:08:15	2010-11-29 21:09:09	/gehme/data/stereo/secchi/L0/a/img/cor2/20101129/20101129_215400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101129/20101129_215400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101129/20101129_205400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101129/20101129_205400_d4c2B.fts
557	2010-11-30	22:08:15	2010-11-30	23:09:09	90	270	29.504	218.883	84.786	-85.835	84.944	85.752	*	2010-11-30 22:08:15	2010-11-30 23:09:09	2010-11-30 21:08:15	2010-11-30 22:09:09	2010-11-30 20:08:15	2010-11-30 21:09:09	/gehme/data/stereo/secchi/L0/a/img/cor2/20101130/20101130_210800_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101130/20101130_215400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101130/20101130_200800_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101130/20101130_205400_d4c2B.fts
558	2010-12-02	13:08:15	2010-12-02	16:09:09	270	90	8.148	197.258	84.845	-86.045	*	*	*	2010-12-02 13:08:15	2010-12-02 16:09:09	2010-12-02 12:08:15	2010-12-02 15:09:09	2010-12-02 11:08:15	2010-12-02 14:09:09	/gehme/data/stereo/secchi/L0/a/img/cor2/20101202/20101202_120800_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101202/20101202_145400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101202/20101202_110800_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101202/20101202_135400_d4c2B.fts
559	2010-12-05	05:08:15	2010-12-05	07:09:08	270	90	333.104	161.775	84.942	-86.386	85.031	*	*	2010-12-05 05:08:15	2010-12-05 07:09:08	2010-12-05 04:08:15	2010-12-05 06:09:08	2010-12-05 03:08:15	2010-12-05 05:09:08	/gehme/data/stereo/secchi/L0/a/img/cor2/20101205/20101205_035400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101205/20101205_055400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101205/20101205_025400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101205/20101205_045400_d4c2B.fts
560	2010-12-06	17:08:15	2010-12-06	16:09:08	315	45	313.930	142.364	84.995	-86.572	85.059	*	*	2010-12-06 17:08:15	2010-12-06 16:09:08	2010-12-06 16:08:15	2010-12-06 15:09:08	2010-12-06 15:08:15	2010-12-06 14:09:08	/gehme/data/stereo/secchi/L0/a/img/cor2/20101206/20101206_160800_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101206/20101206_145400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101206/20101206_145400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101206/20101206_135400_d4c2B.fts
561	2010-12-07	00:08:15	2010-12-06	23:09:08	135	225	310.098	138.484	85.005	-86.609	85.065	86.617	*	2010-12-07 00:08:15	2010-12-06 23:09:08	2010-12-06 23:08:15	2010-12-06 22:09:08	2010-12-06 22:08:15	2010-12-06 21:09:08	/gehme/data/stereo/secchi/L0/a/img/cor2/20101206/20101206_225400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101206/20101206_215400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101206/20101206_215400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101206/20101206_205400_d4c2B.fts
562	2010-12-07	17:08:15	2010-12-07	19:09:07	90	270	300.251	128.516	85.032	-86.703	85.079	86.723	*	2010-12-07 17:08:15	2010-12-07 19:09:07	2010-12-07 16:08:15	2010-12-07 18:09:07	2010-12-07 15:08:15	2010-12-07 17:09:07	/gehme/data/stereo/secchi/L0/a/img/cor2/20101207/20101207_160800_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101207/20101207_175400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101207/20101207_150800_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101207/20101207_165400_d4c2B.fts
563	2010-12-08	15:08:15	2010-12-08	16:09:07	45	315	288.205	116.322	85.065	-86.818	85.097	86.853	*	2010-12-08 15:08:15	2010-12-08 16:09:07	2010-12-08 14:08:15	2010-12-08 15:09:07	2010-12-08 13:08:15	2010-12-08 14:09:07	/gehme/data/stereo/secchi/L0/a/img/cor2/20101208/20101208_135400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101208/20101208_150800_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101208/20101208_125400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101208/20101208_140800_d4c2B.fts
564	2010-12-10	12:08:15	2010-12-10	14:09:07	315	45	263.567	91.382	85.132	-87.053	85.133	*	*	2010-12-10 12:08:15	2010-12-10 14:09:07	2010-12-10 11:08:15	2010-12-10 13:09:07	2010-12-10 10:08:15	2010-12-10 12:09:07	/gehme/data/stereo/secchi/L0/a/img/cor2/20101210/20101210_105400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101210/20101210_125400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101210/20101210_095400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101210/20101210_115400_d4c2B.fts
565	2010-12-11	08:08:15	2010-12-11	17:09:07	270	45	252.616	80.298	85.162	-87.156	85.149	*	*	2010-12-11 08:08:15	2010-12-11 17:09:07	2010-12-11 07:08:15	2010-12-11 16:09:07	2010-12-11 06:08:15	2010-12-11 15:09:07	/gehme/data/stereo/secchi/L0/a/img/cor2/20101211/20101211_065400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101211/20101211_160800_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101211/20101211_055400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101211/20101211_145400_d4c2B.fts
566a	2010-12-12	08:08:15	2010-12-12	10:09:06	45/135	225/315	239.476	66.999	85.198	-87.280	85.168	87.370	172.538	2010-12-12 08:08:15	2010-12-12 10:09:06	2010-12-12 07:08:15	2010-12-12 09:09:06	2010-12-12 06:08:15	2010-12-12 08:09:06	/gehme/data/stereo/secchi/L0/a/img/cor2/20101212/20101212_065400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101212/20101212_085400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101212/20101212_055400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101212/20101212_075400_d4c2B.fts
566b	2010-12-12	*	2010-12-12	*	*	*	*	*	*	*	*	*	*			NaT	NaT	NaT	NaT	*	*	*	*
567	2010-12-12	17:08:15	2010-12-12	19:09:06	135	225	234.549	62.012	85.211	-87.326	*	*	*	2010-12-12 17:08:15	2010-12-12 19:09:06	2010-12-12 16:08:15	2010-12-12 18:09:06	2010-12-12 15:08:15	2010-12-12 17:09:06	/gehme/data/stereo/secchi/L0/a/img/cor2/20101212/20101212_155400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101212/20101212_175400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101212/20101212_145400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101212/20101212_165400_d4c2B.fts
568a	2010-12-14	18:08:15	2010-12-14	19:09:06	45	315	207.721	34.862	85.283	-87.575	85.214	87.702	172.916	2010-12-14 18:08:15	2010-12-14 19:09:06	2010-12-14 17:08:15	2010-12-14 18:09:06	2010-12-14 16:08:15	2010-12-14 17:09:06	/gehme/data/stereo/secchi/L0/a/img/cor2/20101214/20101214_165400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101214/20101214_180800_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101214/20101214_155400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101214/20101214_170800_d4c2B.fts
568b	2010-12-14	*	2010-12-14	*	*	*	*	*	*	*	*	*	*			NaT	NaT	NaT	NaT	*	*	*	*
569	2010-12-15	20:08:15	2010-12-15	21:09:06	90	270	193.486	20.458	85.322	-87.707	85.234	87.850	*	2010-12-15 20:08:15	2010-12-15 21:09:06	2010-12-15 19:08:15	2010-12-15 20:09:06	2010-12-15 18:08:15	2010-12-15 19:09:06	/gehme/data/stereo/secchi/L0/a/img/cor2/20101215/20101215_185400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101215/20101215_202400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101215/20101215_175400_d4c2A.fts	No img/double data
570	2010-12-16	11:08:15	2010-12-16	13:09:05	45	315	185.274	12.148	85.344	-87.782	85.246	87.935	*	2010-12-16 11:08:15	2010-12-16 13:09:05	2010-12-16 10:08:15	2010-12-16 12:09:05	2010-12-16 09:08:15	2010-12-16 11:09:05	/gehme/data/stereo/secchi/L0/a/img/cor2/20101216/20101216_095400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101216/20101216_115400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101216/20101216_085400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101216/20101216_105400_d4c2B.fts
571	2010-12-19	11:08:15	2010-12-19	09:09:05	90/315	270/45	146.941	333.364	*	*	*	*	*	2010-12-19 11:08:15	2010-12-19 09:09:05	2010-12-19 10:08:15	2010-12-19 08:09:05	2010-12-19 09:08:15	2010-12-19 07:09:05	/gehme/data/stereo/secchi/L0/a/img/cor2/20101219/20101219_095400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101219/20101219_080800_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101219/20101219_085400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101219/20101219_070800_d4c2B.fts
572	2010-12-20	17:08:15	2010-12-20	19:09:04	45	315	129.431	315.650	85.492	-88.289	85.327	88.502	*	2010-12-20 17:08:15	2010-12-20 19:09:04	2010-12-20 16:08:15	2010-12-20 18:09:04	2010-12-20 15:08:15	2010-12-20 17:09:04	/gehme/data/stereo/secchi/L0/a/img/cor2/20101220/20101220_155400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101220/20101220_180800_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101220/20101220_145400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101220/20101220_170800_d4c2B.fts
573	2010-12-21	07:08:15	2010-12-21	08:09:04	90	270	121.766	307.896	85.512	-88.357	85.338	88.579	*	2010-12-21 07:08:15	2010-12-21 08:09:04	2010-12-21 06:08:15	2010-12-21 07:09:04	2010-12-21 05:08:15	2010-12-21 06:09:04	/gehme/data/stereo/secchi/L0/a/img/cor2/20101221/20101221_055400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101221/20101221_070800_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101221/20101221_045400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101221/20101221_060800_d4c2B.fts
574	2010-12-23	12:08:15	2010-12-23	13:09:04	90	270	92.750	278.547	85.588	-88.615	85.380	88.867	*	2010-12-23 12:08:15	2010-12-23 13:09:04	2010-12-23 11:08:15	2010-12-23 12:09:04	2010-12-23 10:08:15	2010-12-23 11:09:04	/gehme/data/stereo/secchi/L0/a/img/cor2/20101223/20101223_105400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101223/20101223_115400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101223/20101223_095400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101223/20101223_105400_d4c2B.fts
575	2010-12-24	16:08:15	2010-12-24	16:09:03	90	270	77.421	263.043	85.627	-88.750	85.403	89.017	*	2010-12-24 16:08:15	2010-12-24 16:09:03	2010-12-24 15:08:15	2010-12-24 15:09:03	2010-12-24 14:08:15	2010-12-24 14:09:03	/gehme/data/stereo/secchi/L0/a/img/cor2/20101224/20101224_145400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101224/20101224_150800_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101224/20101224_135400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101224/20101224_140800_d4c2B.fts
576	2010-12-26	09:08:15	2010-12-26	10:09:03	225	135	54.975	240.344	85.684	-88.946	85.435	*	*	2010-12-26 09:08:15	2010-12-26 10:09:03	2010-12-26 08:08:15	2010-12-26 09:09:03	2010-12-26 07:08:15	2010-12-26 08:09:03	/gehme/data/stereo/secchi/L0/a/img/cor2/20101226/20101226_075400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101226/20101226_085400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101226/20101226_065400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101226/20101226_075400_d4c2B.fts
