no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h	pre_a_1h_download_c2	pre_b_1h_download_c2	pre_a_2h_download_c2	pre_b_2h_download_c2
158	2008-10-26	23:52:20	2008-10-26	22:23:11	270	270	1.957	281.356	40.840	-39.760	41.072	39.600	*	2008-10-26 23:52:20	2008-10-26 22:23:11	2008-10-26 22:52:20	2008-10-26 21:23:11	2008-10-26 21:52:20	2008-10-26 20:23:11	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081026/c2/22291877.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081026/c2/22291873.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081026/c2/22291874.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081026/c2/22291867.fts"
159	2008-10-30	15:22:20	2008-10-30	*	270	*	313.181	232.060	40.956	-40.165	41.214	40.036	*	2008-10-30 15:22:20		2008-10-30 14:22:20	NaT	2008-10-30 13:22:20	NaT	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081030/c2/22292133.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081030/c2/22292130.fts"	*
160	2008-11-01	*	2008-11-01	05:23:10	*	90	292.341	211.002	41.004	-40.336	41.271	40.220	*		2008-11-01 05:23:10	NaT	2008-11-01 04:23:10	NaT	2008-11-01 03:23:10	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081101/c2/22292245.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081101/c2/22292244.fts"
161	2008-11-02	*	2008-11-02	05:23:09	*	270	279.185	197.709	41.033	-40.443	41.307	40.336	*		2008-11-02 05:23:09	NaT	2008-11-02 04:23:09	NaT	2008-11-02 03:23:09	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081102/c2/22292315.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081102/c2/22292312.fts"
162	2008-11-03	01:22:20	2008-11-03	01:53:09	45	315	268.231	186.642	41.058	-40.531	41.336	*	*	2008-11-03 01:22:20	2008-11-03 01:53:09	2008-11-03 00:22:20	2008-11-03 00:53:09	2008-11-02 23:22:20	2008-11-02 23:53:09	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081103/c2/22292372.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081103/c2/22292373.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081102/c2/22292369.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081102/c2/22292370.fts"
165	2008-11-04	*	2008-11-04	04:23:09	*	315	253.421	171.681	41.091	-40.650	41.375	40.562	*		2008-11-04 04:23:09	NaT	2008-11-04 03:23:09	NaT	2008-11-04 02:23:09	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081104/c2/22292449.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081104/c2/22292446.fts"
166	2008-11-07	20:22:20	2008-11-07	21:23:08	270	315	205.191	122.965	41.196	-41.030	41.497	*	*	2008-11-07 20:22:20	2008-11-07 21:23:08	2008-11-07 19:22:20	2008-11-07 20:23:08	2008-11-07 18:22:20	2008-11-07 19:23:08	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081107/c2/22292700.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081107/c2/22292703.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081107/c2/22292697.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081107/c2/22292700.fts"
167	2008-11-13	16:22:20	2008-11-13	15:23:06	225	135	128.985	46.017	41.357	-41.611	41.673	*	*	2008-11-13 16:22:20	2008-11-13 15:23:06	2008-11-13 15:22:20	2008-11-13 14:23:06	2008-11-13 14:22:20	2008-11-13 13:23:06	No data	No data	No data	No data
171	2008-11-20	14:52:20	2008-11-20	14:53:03	45	315	37.177	313.353	41.543	-42.281	41.860	42.365	*	2008-11-20 14:52:20	2008-11-20 14:53:03	2008-11-20 13:52:20	2008-11-20 13:53:03	2008-11-20 12:52:20	2008-11-20 12:53:03	No data	No data	No data	No data
172	2008-11-23	22:22:20	2008-11-24	04:23:02	270	270	353.601	269.385	41.628	-42.588	41.939	*	*	2008-11-23 22:22:20	2008-11-24 04:23:02	2008-11-23 21:22:20	2008-11-24 03:23:02	2008-11-23 20:22:20	2008-11-24 02:23:02	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081123/c2/22293380.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081124/c2/22296240.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081123/c2/22293374.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081124/c2/22296237.fts"
173	2008-11-29	*	2008-11-29	13:23:00	*	90	279.598	194.736	41.769	-43.093	42.059	43.271	*		2008-11-29 13:23:00	NaT	2008-11-29 12:23:00	NaT	2008-11-29 11:23:00	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081129/c2/22293699.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081129/c2/22293697.fts"
174	2008-12-07	*	2008-12-07	01:22:57	*	90	180.961	95.274	41.957	-43.730	42.202	43.977	*		2008-12-07 01:22:57	NaT	2008-12-07 00:22:57	NaT	2008-12-06 23:22:57	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081207/c2/22294216.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081206/c2/22294214.fts"
175	2008-12-08	17:22:20	2008-12-08	*	315	*	159.041	73.177	41.999	-43.865	42.232	44.127	*	2008-12-08 17:22:20		2008-12-08 16:22:20	NaT	2008-12-08 15:22:20	NaT	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081208/c2/22294332.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081208/c2/22294329.fts"	*
176	2008-12-12	08:22:20	2008-12-12	08:22:55	90	270	111.369	25.125	42.092	-44.152	42.294	*	*	2008-12-12 08:22:20	2008-12-12 08:22:55	2008-12-12 07:22:20	2008-12-12 07:22:55	2008-12-12 06:22:20	2008-12-12 06:22:55	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081212/c2/22294586.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081212/c2/22294586.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081212/c2/22294584.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081212/c2/22294584.fts"
177	2008-12-16	08:22:20	2008-12-16	08:22:54	90	90	58.770	332.118	42.194	-44.457	42.360	44.773	*	2008-12-16 08:22:20	2008-12-16 08:22:54	2008-12-16 07:22:20	2008-12-16 07:22:54	2008-12-16 06:22:20	2008-12-16 06:22:54	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081216/c2/22294862.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081216/c2/22294862.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081216/c2/22294859.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081216/c2/22294859.fts"
178	2008-12-20	20:22:20	2008-12-20	12:52:53	270	45	3.710	276.644	42.301	-44.765	*	*	*	2008-12-20 20:22:20	2008-12-20 12:52:53	2008-12-20 19:22:20	2008-12-20 11:52:53	2008-12-20 18:22:20	2008-12-20 10:52:53	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081220/c2/22295172.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081220/c2/22295150.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081220/c2/22295169.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081220/c2/22295147.fts"
179	2008-12-27	06:52:20	2008-12-27	10:52:50	45	315	274.968	187.260	42.472	-45.236	42.520	*	*	2008-12-27 06:52:20	2008-12-27 10:52:50	2008-12-27 05:52:20	2008-12-27 09:52:50	2008-12-27 04:52:20	2008-12-27 08:52:50	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081227/c2/22295622.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081227/c2/22295633.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081227/c2/22295620.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081227/c2/22295631.fts"
180	2008-12-31	15:52:20	2008-12-31	*	90	*	217.457	129.351	42.583	-45.523	42.582	45.887	*	2008-12-31 15:52:20		2008-12-31 14:52:20	NaT	2008-12-31 13:52:20	NaT	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081231/c2/22295923.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/081231/c2/22295920.fts"	*
181	2009-01-05	*	2009-01-05	00:22:20	*	270	160.225	71.736	42.695	-45.793	42.644	46.153	88.797		2009-01-05 00:22:20	NaT	2009-01-04 23:22:20	NaT	2009-01-04 22:22:20	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090104/c2/22296228.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090104/c2/22296226.fts"
182	2009-01-06	07:22:00	2009-01-06	07:22:27	270	90	143.248	54.649	42.729	-45.870	*	*	*	2009-01-06 07:22:00	2009-01-06 07:22:27	2009-01-06 06:22:00	2009-01-06 06:22:27	2009-01-06 05:22:00	2009-01-06 05:22:27	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090106/c2/22296388.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090106/c2/22296388.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090106/c2/22296386.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090106/c2/22296386.fts"
183	2009-01-07	14:52:00	2009-01-07	*	90	*	125.997	37.287	42.763	-45.947	42.683	46.301	88.984	2009-01-07 14:52:00		2009-01-07 13:52:00	NaT	2009-01-07 12:52:00	NaT	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090107/c2/22296479.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090107/c2/22296476.fts"	*
184	2009-01-08	14:52:00	2009-01-09	01:52:26	90	270	112.855	24.061	42.789	-46.005	42.698	*	*	2009-01-08 14:52:00	2009-01-09 01:52:26	2009-01-08 13:52:00	2009-01-09 00:52:26	2009-01-08 12:52:00	2009-01-08 23:52:26	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090108/c2/22296549.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090109/c2/22296577.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090108/c2/22296547.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090108/c2/22296574.fts"
185	2009-01-12	15:22:00	2009-01-13	03:22:25	270	270	60.012	330.889	42.896	-46.227	42.761	46.562	*	2009-01-12 15:22:00	2009-01-13 03:22:25	2009-01-12 14:22:00	2009-01-13 02:22:25	2009-01-12 13:22:00	2009-01-13 01:22:25	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090112/c2/22296827.fts"	No data	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090112/c2/22296824.fts"	No data
186	2009-01-14	06:22:00	2009-01-14	11:22:00	90	270	38.657	309.405	42.939	-46.313	42.788	*	*	2009-01-14 06:22:00	2009-01-14 11:22:00	2009-01-14 05:22:00	2009-01-14 10:22:00	2009-01-14 04:22:00	2009-01-14 09:22:00	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090114/c2/22296906.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090114/c2/22296920.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090114/c2/22296903.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090114/c2/22296917.fts"
187	2009-01-15	19:52:00	2009-01-15	18:22:25	270	270	18.945	289.575	42.978	-46.391	42.812	46.709	*	2009-01-15 19:52:00	2009-01-15 18:22:25	2009-01-15 18:52:00	2009-01-15 17:22:25	2009-01-15 17:52:00	2009-01-15 16:22:25	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090115/c2/22297016.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090115/c2/22297012.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090115/c2/22297013.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090115/c2/22297009.fts"
188	2009-01-17	*	2009-01-17	14:22:24	*	90	354.853	265.342	43.027	-46.484	42.843	46.790	89.633		2009-01-17 14:22:24	NaT	2009-01-17 13:22:24	NaT	2009-01-17 12:22:24	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090117/c2/22297127.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090117/c2/22297125.fts"
189	2009-01-20	19:52:00	2009-01-20	15:22:23	270	270	314.883	225.145	43.107	-46.632	42.896	46.916	*	2009-01-20 19:52:00	2009-01-20 15:22:23	2009-01-20 18:52:00	2009-01-20 14:22:23	2009-01-20 17:52:00	2009-01-20 13:22:23	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090120/c2/22297352.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090120/c2/22297340.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090120/c2/22297349.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090120/c2/22297337.fts"
190	2009-01-21	*	2009-01-21	22:22:23	*	270	297.911	208.078	43.141	-46.692	42.918	46.967	*		2009-01-21 22:22:23	NaT	2009-01-21 21:22:23	NaT	2009-01-21 20:22:23	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090121/c2/22297432.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090121/c2/22297426.fts"
191	2009-01-25	*	2009-01-25	12:22:22	*	90	250.826	160.738	43.234	-46.853	42.985	47.096	*		2009-01-25 12:22:22	NaT	2009-01-25 11:22:22	NaT	2009-01-25 10:22:22	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090125/c2/22297679.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090125/c2/22297676.fts"
192	2009-01-31	06:22:00	2009-01-31	04:22:21	270	90	176.368	85.900	43.384	-47.084	*	*	*	2009-01-31 06:22:00	2009-01-31 04:22:21	2009-01-31 05:22:00	2009-01-31 03:22:21	2009-01-31 04:22:00	2009-01-31 02:22:21	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090131/c2/22298062.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090131/c2/22298060.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090131/c2/22298061.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090131/c2/22298054.fts"
193	2009-02-06	09:22:00	2009-02-06	06:22:20	270	270	96.438	5.592	43.549	-47.297	43.239	*	*	2009-02-06 09:22:00	2009-02-06 06:22:20	2009-02-06 08:22:00	2009-02-06 05:22:20	2009-02-06 07:22:00	2009-02-06 04:22:20	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090206/c2/22298338.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090206/c2/22298330.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090206/c2/22298335.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090206/c2/22298327.fts"
194	2009-02-06	17:22:00	2009-02-06	*	270	*	90.416	359.543	43.562	-47.311	43.251	47.422	90.673	2009-02-06 17:22:00		2009-02-06 16:22:00	NaT	2009-02-06 15:22:00	NaT	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090206/c2/22298361.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090206/c2/22298358.fts"	*
195	2009-02-10	20:52:00	2009-02-11	01:52:19	270/90	225/90	35.944	304.833	43.679	*	*	*	*	2009-02-10 20:52:00	2009-02-11 01:52:19	2009-02-10 19:52:00	2009-02-11 00:52:19	2009-02-10 18:52:00	2009-02-10 23:52:19	No data	No data	No data	No data
196	2009-02-12	00:22:00	2009-02-12	00:22:19	270	270	20.888	289.714	43.711	-47.463	43.392	47.509	*	2009-02-12 00:22:00	2009-02-12 00:22:19	2009-02-11 23:22:00	2009-02-11 23:22:19	2009-02-11 22:22:00	2009-02-11 22:22:19	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090211/c2/22298551.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090211/c2/22298551.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090211/c2/22298548.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090211/c2/22298548.fts"
197	2009-02-13	06:52:00	2009-02-13	*	90	*	4.191	272.948	43.747	-47.495	43.428	47.526	90.953	2009-02-13 06:52:00		2009-02-13 05:52:00	NaT	2009-02-13 04:52:00	NaT	No data	*	No data	*
198	2009-02-18	09:22:00	2009-02-18	15:22:19	90	45/0/315	297.125	205.620	43.895	-47.611	43.581	47.578	*	2009-02-18 09:22:00	2009-02-18 15:22:19	2009-02-18 08:22:00	2009-02-18 14:22:19	2009-02-18 07:22:00	2009-02-18 13:22:19	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090218/c2/22298758.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090218/c2/22298776.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090218/c2/22298755.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090218/c2/22298773.fts"
199	2009-02-20	22:22:00	2009-02-20	23:22:18	270	270	263.729	172.100	43.970	-47.659	43.662	47.596	*	2009-02-20 22:22:00	2009-02-20 23:22:18	2009-02-20 21:22:00	2009-02-20 22:22:18	2009-02-20 20:22:00	2009-02-20 21:22:18	No data	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090220/c2/22298902.fts"	No data	No data
200	2009-02-22	*	2009-02-22	12:52:18	*	90	242.651	150.946	44.017	-47.687	43.716	47.604	*		2009-02-22 12:52:18	NaT	2009-02-22 11:52:18	NaT	2009-02-22 10:52:18	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090222/c2/22299001.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090222/c2/22298998.fts"
201	2009-02-28	*	2009-02-28	00:22:18	*	270	170.654	78.707	44.186	-47.762	43.911	47.616	*		2009-02-28 00:22:18	NaT	2009-02-27 23:22:18	NaT	2009-02-27 22:22:18	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090227/c2/22299381.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090227/c2/22299379.fts"
202	2009-03-02	23:52:00	2009-03-02	*	90	*	131.507	39.435	44.282	-47.790	44.026	47.612	*	2009-03-02 23:52:00		2009-03-02 22:52:00	NaT	2009-03-02 21:52:00	NaT	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090302/c2/22299588.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090302/c2/22299585.fts"	*
203	2009-03-04	06:22:00	2009-03-04	*	270	*	114.807	22.684	44.324	-47.800	44.077	47.608	*	2009-03-04 06:22:00		2009-03-04 05:22:00	NaT	2009-03-04 04:22:00	NaT	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090304/c2/22299675.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090304/c2/22299672.fts"	*
204	2009-03-06	20:22:00	2009-03-06	20:22:18	270	270	80.860	348.635	44.412	-47.813	44.185	47.597	*	2009-03-06 20:22:00	2009-03-06 20:22:18	2009-03-06 19:22:00	2009-03-06 19:22:18	2009-03-06 18:22:00	2009-03-06 18:22:18	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090306/c2/22299850.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090306/c2/22299850.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090306/c2/22299849.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090306/c2/22299849.fts"
205	2009-03-08	00:22:00	2009-03-08	04:22:18	270	45	65.529	333.259	44.453	-47.817	44.236	*	*	2009-03-08 00:22:00	2009-03-08 04:22:18	2009-03-07 23:22:00	2009-03-08 03:22:18	2009-03-07 22:22:00	2009-03-08 02:22:18	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090307/c2/22299930.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090308/c2/22299943.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090307/c2/22299928.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090308/c2/22299938.fts"
206	2009-03-10	06:22:00	2009-03-10	*	90	*	35.961	303.607	44.533	-47.821	44.336	47.575	91.911	2009-03-10 06:22:00		2009-03-10 05:22:00	NaT	2009-03-10 04:22:00	NaT	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090310/c2/22300086.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090310/c2/22300083.fts"	*
207	2009-03-16	14:22:00	2009-03-16	12:22:19	90/270	90/270	313.827	221.247	44.771	-47.809	44.636	*	*	2009-03-16 14:22:00	2009-03-16 12:22:19	2009-03-16 13:22:00	2009-03-16 11:22:19	2009-03-16 12:22:00	2009-03-16 10:22:19	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090316/c2/22300536.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090316/c2/22300530.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090316/c2/22300534.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090316/c2/22300528.fts"
208	2009-03-18	00:22:00	2009-03-18	07:22:19	90	315	294.114	201.482	44.831	-47.801	44.712	*	*	2009-03-18 00:22:00	2009-03-18 07:22:19	2009-03-17 23:22:00	2009-03-18 06:22:19	2009-03-17 22:22:00	2009-03-18 05:22:19	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090317/c2/22300647.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090318/c2/22300671.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090317/c2/22300646.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090318/c2/22300668.fts"
209	2009-03-24	00:22:00	2009-03-24	16:22:20	90	90	215.261	122.423	45.083	-47.756	45.032	*	*	2009-03-24 00:22:00	2009-03-24 16:22:20	2009-03-23 23:22:00	2009-03-24 15:22:20	2009-03-23 22:22:00	2009-03-24 14:22:20	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090323/c2/22301111.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090324/c2/22301165.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090323/c2/22301109.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/090324/c2/22301159.fts"
