HEL	CME	Pre-event		Last full visibility COR 2		GCS PARAMETER						HI-Date		FIT		HI List								
no	no	date	time	date	time	carlon	stoney	lat	tilt	Asp. Ratio	h_angle	date	time	APEX SPEED	CME-Mass	SpeedFPF	FPF		SpeedSSEF	SSEF		SpeedHMF	HMF	
-	-	yyyymmdd	hhmm	yyyymmdd	hhmm	deg	lon, old	deg	deg	-	deg		hhmm	km/s	g	km/s	LON	LAT	km/s	LON	LAT	km/s	LON	LAT
50	574	2010-12-23	04:08	2010-12-23	13:08	350	-17	-14	-16	0,46	10,3	2010-12-23	12:49	334	2,70E+15	500	43	26	518	42	26	534	42	26
51	587	2011-01-09	20:08	2011-01-10	07:08	200	67	21	-35	0,26	8,4	2011-01-10	09:29	339	2,30E+15	552	-25	31	680	-39	20	743	94	8
52	603	2011-01-24	01:08	2011-01-24	10:08	4	57	-8	-40	0,15	7	2011-01-24	09:29	577	4,70E+15	394	14	-6	399	13	-6	403	12	-6
53	612	2011-01-30	00:08	2011-01-30	20:08	182	-40	-12	-20	0,26	11,7	2011-01-30	13:29	309	5,60E+15	311	11	-16	317	4	-15	323	-3	-15
54	622	2011-02-14	13:08	2011-02-15	00:08	0	-23	7	12	0,28	23,2	2011-02-14	20:09	331	3,40E+15	514	-1	0	546	-14	1	581	-27	1
55	624	2011-02-16	02:08	2011-02-16	08:08	340	-25	31	-20	0,39	20,7	2011-02-16	08:49	427	2,50E+15	637	-29	30	769	-47	22	852	-62	13
56	635	2011-03-03	01:08	2011-03-03	10:08	160	-6	-22	-20	0,3	12,9	2011-03-03	07:29	465	3,10E+15	487	29	-17	491	31	-17	494	33	-17
57	653	2011-03-14	04:00	2011-03-14	14:09	335	-44	37	-36	0,26	52	2011-03-14	15:29	420	3,00E+15	386	-52	30	394	-51	30	397	-50	30
58	661	2011-03-21	02:08	2011-03-21	04:08	51	118	22	-69	0,33	63,2	2011-03-21	06:09	1630	2,70E+15	--	--	--	--	--	--	--	--	--
59	668	2011-03-25	06:08	2011-03-25	19:08	235	3	-7	0	0,39	24	2011-03-25	16:09	330	2,00E+15	415	-1	-5	449	-16	-5	489	-32	-6
60	675	2011-03-29	20:00	2011-03-29	23:24	76	-102	-2	0	0,83	20,1	2011-03-29	23:29	1617	6,00E+15	714	-12	-10	755	1	-10	798	14	-9
61	679	2011-04-03	00:08	2011-04-03	06:08	86	-34	-48	22	0,39	34,4	2011-04-03	06:09	662	2,50E+16	534	23	-37	550	12	-39	565	1	-40
62	680	2011-04-04	00:08	2011-04-04	06:08	86	-21	8	-17	0,26	19,6	2011-04-04	04:09	916	5,00E+15	841	6	-5	864	-2	-5	886	-10	-5
63	682	2011-04-07	05:08	2011-04-07	12:08	58	-6	-17	0	0,59	50,9	2011-04-07	10:09	444	5,60E+15	645	-46	4	844	-71	0	974	-84	-5
64	689	2011-04-12	00:08	2011-04-12	06:08	26	25	31	-4	0,62	38,6	2011-04-12	06:49	355	3,10E+15	357	48	17	370	56	15	381	64	13
65	696	2011-04-17	00:08	2011-04-17	10:08	240	-53	22	16	0,21	10,9	2011-04-17	12:09	291	3,90E+15	331	30	38	333	30	38	333	31	37
66	732	2011-05-18	18:08	2011-05-18	22:08	316	79	-2	-16	0,76	43,3	2011-05-18	20:49	1024	3,00E+15	669	65	-16	697	66	-15	708	66	-15
67	733	2011-05-19	04:08	2011-05-19	09:08	299	68	22	10	0,15	15,1	2011-05-19	08:09	848	3,50E+15	586	15	31	603	6	30	618	-4	29
68	743	2011-05-29	10:08	2011-05-29	15:08	35	-60	-7	13	0,63	53,1	2011-05-29	14:09	755	3,10E+15	664	-40	-12	883	-66	-10	946	-18	-7
69	748	2011-06-01	03:08	2011-06-01	11:08	41	-16	-14	1	0,18	15,4	2011-06-01	10:49	374	3,60E+15	440	-11	-11	476	-26	-12	519	-43	-12
70	750	2011-06-01	17:08	2011-06-01	21:08	60	8	-4	5	0,43	23,8	2011-06-01	21:29	643	5,00E+15	756	-32	3	915	6	11	1179	-81	-6
71	751	2011-06-02	05:08	2011-06-02	09:08	97	42	12	55	0,4	24	2011-06-02	08:09	1070	1,30E+16	1108	-28	5	1426	-52	-1	2069	-84	-7
72	754	2011-06-04	06:08	2011-06-04	08:08	140	121	6	-24	0,71	21,2	2011-06-04	10:09	1070	1,50E+16	930	5	40	989	-10	37	1062	-25	32
73	755	2011-06-04	21:08	2011-06-04	23:08	141	130	19	55	0,7	36,6	2011-06-05	00:49	2616	1,10E+16	1122	-47	23	1550	-69	6	1421	-13	-7
74	756	2011-06-05	04:08	2011-06-05	11:08	335	-30	48	80	0,38	33,5	2011-06-05	12:09	484	6,40E+15	506	-22	34	576	-41	26	680	-59	13
75	757	2011-06-06	07:08	2011-06-06	13:08	97	107	-32	32	0,37	11,5	2011-06-06	12:49	551	5,10E+15	384	23	6	402	25	6	427	27	5
