S/C,Event ID,Date,Time,CPA,Width,Vrad,Radial Accel.,Vexp,Expansion Accel.,Cross Id,Type,Sep. Angle,Comments
B,2641.3604_0B,1/17/14,20:39:00,-999,-999,-999,-999,-999,-999,2641.3500_0Ac,O,154,NULL
A,2641.4438_0Ac,1/17/14,22:54:00,226,106,261,-104,116,-140,2641.4542_0B,F,151, 3P? ; OVR ; Double
B,2641.4542_0B,1/17/14,22:54:00,-999,-999,-999,-999,-999,-999,2641.4438_0Ac,OP,154, OVR ; double
A,2642.3188_0Ac,1/19/14,0:24:00,118,14,284,0,30,-7,NULL,F,151, SB ; OFL
B,NULL,NULL,NULL,-999,-999,-999,-999,-999,-999,2642.3188_0Ac,Z,154,NULL
A,2642.5271_0A,1/19/14,0:39:00,-999,-999,-999,-999,-999,-999,2642.7139_0Bc,F,151, SB ; 3P
B,2642.7139_0Bc,1/19/14,7:40:02,198,44,372,33,277,13,2642.5271_0A,F,154, SB ; 3P
A,2642.7556_0Ac,1/19/14,6:08:00,44,20,597,21,171,155,2642.7972_0B,J,151,NULL
B,2642.7972_0B,1/19/14,7:08:00,-999,-999,-999,-999,-999,-999,2642.7556_0Ac,U,154, FF
A,2643.6938_0A,1/20/14,4:39:00,-999,-999,-999,-999,-999,-999,NULL,JS,151, SUR ; FF
B,NULL,NULL,NULL,-999,-999,-999,-999,-999,-999,2643.6938_0A,Z,155,NULL
A,2643.7354_0A,1/20/14,5:39:00,-999,-999,-999,-999,-999,-999,2643.7972_0Bc,L,151, SB ; OVR
B,2643.7972_0Bc,1/20/14,9:40:02,206,10,347,20,-13,2,2643.7354_0A,L,155, SB ; OVR
A,2644.1521_0Ac,1/20/14,15:39:00,269,86,827,0,942,-5,2644.2139_0B,FS,151,NULL
B,2644.2139_0B,1/20/14,17:08:00,-999,-999,-999,-999,-999,-999,2644.1521_0Ac,FS,155,NULL
A,2644.4438_0Ac,1/20/14,22:39:00,242,128,497,-31,3142,519,NULL,LS,151, HAL ; OFL
B,NULL,NULL,NULL,-999,-999,-999,-999,-999,-999,2644.4438_0Ac,Z,155,NULL
A,2644.6104_0A,1/21/14,2:39:00,-999,-999,-999,-999,-999,-999,2644.6104_0B,O,151, OVR
B,2644.6104_0B,1/21/14,2:39:00,-999,-999,-999,-999,-999,-999,2644.6104_0A,O,155, OVR
A,2644.7556_0A,1/21/14,6:08:00,-999,-999,-999,-999,-999,-999,2644.7972_0Bc,O,151, OVR
B,2644.7972_0Bc,1/21/14,6:25:02,96,62,474,0,490,-151,2644.7556_0A,O,155, OVR
A,2644.9639_0Ac,1/21/14,11:08:00,107,107,782,50,66,-471,2644.9639_0B,OS,151, OVR
B,2644.9639_0B,1/21/14,11:08:00,-999,-999,-999,-999,-999,-999,2644.9639_0Ac,OS,155, OVR ; SUR
A,2645.2354_0Ac,1/21/14,18:08:00,146,65,427,5,1038,108,2645.2972_0B,OS,151, double
B,2645.2972_0B,1/21/14,19:08:00,-999,-999,-999,-999,-999,-999,2645.2354_0Ac,FS,155, double
A,2645.4021_0Ac,1/21/14,21:39:00,245,82,120,-977,951,-345,2645.4639_0B,LS,151,NULL
B,2645.4639_0B,1/21/14,23:08:00,-999,-999,-999,-999,-999,-999,2645.4021_0Ac,OS,155, HAL ; faint
A,2645.5583_0A,1/22/14,1:24:00,-999,-999,-999,-999,-999,-999,2645.5375_0B,J,151, FF ; faint
B,2645.5375_0B,1/22/14,0:54:00,-999,-999,-999,-999,-999,-999,2645.5583_0A,J,155, faint
A,2645.9639_0A,1/22/14,11:08:00,-999,-999,-999,-999,-999,-999,2645.9438_0B,J,151,NULL
B,2645.9438_0B,1/22/14,10:39:00,-999,-999,-999,-999,-999,-999,2645.9639_0A,F,155, faint
A,2646.1417_0A,1/22/14,15:24:00,-999,-999,-999,-999,-999,-999,2646.1417_0B,LW,151, FF
B,2646.1417_0B,1/22/14,15:24:00,-999,-999,-999,-999,-999,-999,2646.1417_0A,W,155, FF
A,2646.3917_0A,1/22/14,21:24:00,-999,-999,-999,-999,-999,-999,2646.4333_0B,F,151, DFL
B,2646.4333_0B,1/22/14,22:24:00,-999,-999,-999,-999,-999,-999,2646.3917_0A,F,155, 3P ; front
A,2646.6208_0A,1/23/14,2:54:00,-999,-999,-999,-999,-999,-999,2646.6833_0B,F,151, OVR
B,2646.6833_0B,1/23/14,4:24:00,-999,-999,-999,-999,-999,-999,2646.6208_0A,F,155, OVR
A,2647.8188_0Ac,1/24/14,7:39:00,211,48,338,-266,-45,-117,2647.8292_0B,OS,151,NULL
B,2647.8292_0B,1/24/14,7:54:00,-999,-999,-999,-999,-999,-999,2647.8188_0Ac,OS,155,NULL
A,2648.2458_0A,1/24/14,17:54:00,-999,-999,-999,-999,-999,-999,2648.2354_0B,LO,151, SB? ; faint ; FF
B,2648.2354_0B,1/24/14,17:39:00,-999,-999,-999,-999,-999,-999,2648.2458_0A,W,155, SB? ; faint ; FF
A,2648.5792_0A,1/25/14,1:54:00,-999,-999,-999,-999,-999,-999,2648.6104_0B,F,151, SB ; OFL
