,paths,date,header_contrast
89,/gehme/data/stereo/secchi/L1/a/img/cor2/20070808/20070808_143730_d4c2a.fts,2007-08-08 14:37:30,
90,/gehme/data/stereo/secchi/L1/a/img/cor2/20070818/20070818_180730_d4c2a.fts,2007-08-18 18:07:30,
91,/gehme/data/stereo/secchi/L1/a/img/cor2/20070818/20070818_163730_d4c2a.fts,2007-08-18 16:37:30,
92,/gehme/data/stereo/secchi/L1/a/img/cor2/20070821/20070821_073730_d4c2a.fts,2007-08-21 07:37:30,
93,/gehme/data/stereo/secchi/L1/a/img/cor2/20070821/20070821_063730_d4c2a.fts,2007-08-21 06:37:30,
94,/gehme/data/stereo/secchi/L1/a/img/cor2/20070824/20070824_030730_d4c2a.fts,2007-08-24 03:07:30,
95,/gehme/data/stereo/secchi/L1/a/img/cor2/20070824/20070824_020730_d4c2a.fts,2007-08-24 02:07:30,
96,/gehme/data/stereo/secchi/L1/a/img/cor2/20070827/20070827_110730_d4c2a.fts,2007-08-27 11:07:30,
97,/gehme/data/stereo/secchi/L1/a/img/cor2/20070827/20070827_100730_d4c2a.fts,2007-08-27 10:07:30,
98,/gehme/data/stereo/secchi/L1/a/img/cor2/20070831/20070831_203730_d4c2a.fts,2007-08-31 20:37:30,
99,/gehme/data/stereo/secchi/L1/a/img/cor2/20070831/20070831_193730_d4c2a.fts,2007-08-31 19:37:30,
100,/gehme/data/stereo/secchi/L1/a/img/cor2/20070919/20070919_070730_d4c2a.fts,2007-09-19 07:07:30,
101,/gehme/data/stereo/secchi/L1/a/img/cor2/20070919/20070919_060730_d4c2a.fts,2007-09-19 06:07:30,
102,/gehme/data/stereo/secchi/L1/a/img/cor2/20070924/20070924_130730_d4c2a.fts,2007-09-24 13:07:30,
103,/gehme/data/stereo/secchi/L1/a/img/cor2/20070924/20070924_120730_d4c2a.fts,2007-09-24 12:07:30,
104,/gehme/data/stereo/secchi/L1/a/img/cor2/20071004/20071004_200730_d4c2a.fts,2007-10-04 20:07:30,
105,/gehme/data/stereo/secchi/L1/a/img/cor2/20071004/20071004_190730_d4c2a.fts,2007-10-04 19:07:30,
106,/gehme/data/stereo/secchi/L1/a/img/cor2/20071008/20071008_160730_d4c2a.fts,2007-10-08 16:07:30,
107,/gehme/data/stereo/secchi/L1/a/img/cor2/20071008/20071008_150730_d4c2a.fts,2007-10-08 15:07:30,
108,/gehme/data/stereo/secchi/L1/a/img/cor2/20071011/20071011_090754_d4c2a.fts,2007-10-11 09:07:54,
109,/gehme/data/stereo/secchi/L1/a/img/cor2/20071011/20071011_080754_d4c2a.fts,2007-10-11 08:07:54,
110,/gehme/data/stereo/secchi/L1/a/img/cor2/20071015/20071015_100730_d4c2a.fts,2007-10-15 10:07:30,
111,/gehme/data/stereo/secchi/L1/a/img/cor2/20071015/20071015_090730_d4c2a.fts,2007-10-15 09:07:30,
112,/gehme/data/stereo/secchi/L1/a/img/cor2/20071016/20071016_223730_d4c2a.fts,2007-10-16 22:37:30,
113,/gehme/data/stereo/secchi/L1/a/img/cor2/20071016/20071016_213730_d4c2a.fts,2007-10-16 21:37:30,
114,/gehme/data/stereo/secchi/L1/a/img/cor2/20071022/20071022_020730_d4c2a.fts,2007-10-22 02:07:30,
115,/gehme/data/stereo/secchi/L1/a/img/cor2/20071022/20071022_010730_d4c2a.fts,2007-10-22 01:07:30,
116,/gehme/data/stereo/secchi/L1/a/img/cor2/20071104/20071104_123754_d4c2a.fts,2007-11-04 12:37:54,
117,/gehme/data/stereo/secchi/L1/a/img/cor2/20071104/20071104_113754_d4c2a.fts,2007-11-04 11:37:54,
118,/gehme/data/stereo/secchi/L1/a/img/cor2/20071112/20071112_030754_d4c2a.fts,2007-11-12 03:07:54,
119,/gehme/data/stereo/secchi/L1/a/img/cor2/20071112/20071112_020754_d4c2a.fts,2007-11-12 02:07:54,
