S/C,Event ID,Date,Time,CPA,Width,Vrad,Radial Accel.,Vexp,Expansion Accel.,Cross Id,Type,Sep. Angle,Comments
A,1568.4750_0A,2011-02-09,23:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1568.6000_0B,F,      86, OFL
B,1568.6000_0B,2011-02-10,02:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1568.4750_0A,F,      93, OFL
A,1569.1417_0A,2011-02-10,15:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1569.1417_0B,W,      86,NULL
B,1569.1417_0B,2011-02-10,15:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1569.1417_0A,W,      93,NULL
A,1569.6000_0A,2011-02-11,02:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1569.6000_0B,U,      86,NULL
B,1569.6000_0B,2011-02-11,02:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1569.6000_0A,U,      93,NULL
A,1570.1938_0A,2011-02-11,16:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1570.2250_0B,O,      86,NULL
B,1570.2250_0B,2011-02-11,17:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1570.1938_0A,O,      93,NULL
A,1570.4542_0A,2011-02-11,22:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1570.4750_0B,OS,      86, HAL
B,1570.4750_0B,2011-02-11,23:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1570.4542_0A,OS,      93, HAL
A,1570.7354_0A,2011-02-12,05:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1570.7667_0B,O,      86, FF
B,1570.7667_0B,2011-02-12,06:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1570.7354_0A,O,      93, FF ;  faint
A,1571.1625_0A,2011-02-12,15:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1571.1938_0B,O,      86,NULL
B,1571.1938_0B,2011-02-12,16:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1571.1625_0A,O,      93, faint
A,1571.5583_0A,2011-02-13,01:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1571.5792_0B,O,      86,NULL
B,1571.5792_0B,2011-02-13,01:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1571.5583_0A,O,      93,NULL
A,1572.2667_0Ac,2011-02-13,18:24:00,      81,      56,     183,     -20,     -98,      13,1572.2771_0Bc,O,      86, OFL
B,1572.2771_0Bc,2011-02-13,18:39:33,     272,      31,     106,     -15,    -373,     -42,1572.2667_0Ac,O,      93, OFL
A,1572.8188_0A,2011-02-14,07:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1572.8500_0B,OP,      86, OVR
B,1572.8500_0B,2011-02-14,08:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1572.8188_0A,OP,      94, OVR
A,1573.0583_0A,2011-02-14,13:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1573.0792_0B,OP,      86,NULL
B,1573.0792_0B,2011-02-14,13:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1573.0583_0A,OP,      94,NULL
A,1573.2250_0Ac,2011-02-14,17:54:00,      85,      51,     332,      -2,     201,     -29,1573.2458_0Bc,FP,      86, OVR
B,1573.2458_0Bc,2011-02-14,18:24:33,     285,      32,     301,       0,     147,       2,1573.2250_0Ac,FP,      94, OVR
A,1573.6000_0Ac,2011-02-15,02:24:00,      99,      68,    1161,       0,    1002,     126,1573.6000_0Bc,FP,      86, OVR ;  OFL
B,1573.6000_0Bc,2011-02-15,02:24:33,     263,      68,     857,       0,     949,     -95,1573.6000_0Ac,FP,      94, OVR ;  ; OFL
A,1574.6833_0Ac,2011-02-16,04:24:00,      51,      57,     386,       0,     290,       1,1574.6833_0Bc,F,      86,NULL
B,1574.6833_0Bc,2011-02-16,03:39:33,     310,      60,     457,      12,     395,       8,1574.6833_0Ac,F,      94,NULL
A,1575.5583_0A,2011-02-17,01:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1575.6000_0B,LS,      86, HAL ; faint
B,1575.6000_0B,2011-02-17,02:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1575.5583_0A,LS,      94, HAL ; faint
A,1576.4854_0A,2011-02-17,23:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1576.4958_0B,U,      86,NULL
B,1576.4958_0B,2011-02-17,23:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1576.4854_0A,U,      94,NULL
A,1576.6833_0A,2011-02-18,04:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1576.6833_0B,OP,      86,NULL
B,1576.6833_0B,2011-02-18,04:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1576.6833_0A,OP,      94,NULL
A,1577.2667_0A,2011-02-18,18:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1577.4125_0B,F,      86,NULL
B,1577.4125_0B,2011-02-18,21:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1577.2667_0A,F,      94, GAP ; faint
A,1577.3292_0A,2011-02-18,19:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1577.3604_0B,O,      86,NULL
B,1577.3604_0B,2011-02-18,20:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1577.3292_0A,O,      94,NULL
A,1577.9958_0A,2011-02-19,11:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1578.0167_0B,O,      86,NULL
B,1578.0167_0B,2011-02-19,12:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1577.9958_0A,O,      94,NULL
A,1579.2354_0Ac,2011-02-20,17:39:00,     276,      10,     325,     -38,      10,      -2,1579.2458_0Bc,J,      86,NULL
B,1579.2458_0Bc,2011-02-20,18:24:32,      84,       5,     376,       0,      19,     -11,1579.2354_0Ac,J,      94,NULL
A,1580.0688_0A,2011-02-21,13:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1580.0792_0B,U,      86,NULL
B,1580.0792_0B,2011-02-21,13:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1580.0688_0A,U,      94,NULL
A,1581.6417_0A,2011-02-23,03:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1581.6521_0B,F,      87,NULL
B,1581.6521_0B,2011-02-23,03:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1581.6417_0A,F,      94,NULL
A,1582.5688_0A,2011-02-24,01:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1582.6625_0B,F,      87, OVR
B,1582.6625_0B,2011-02-24,03:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1582.5688_0A,F,      94, OVR
A,1582.8500_0A,2011-02-24,08:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1582.8500_0B,LPS,      87, HAL ; faint ;  ; OVR
B,1582.8500_0B,2011-02-24,08:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1582.8500_0A,LPS,      94, HAL ; faint ;  ; OVR
A,1582.8500_1A,2011-02-24,08:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1582.9333_0B,LPS,      87, OVR
B,1582.9333_0B,2011-02-24,10:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1582.8500_1A,LPS,      94, OVR
A,1583.8500_0A,2011-02-25,08:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1583.8500_0B,U,      87,NULL
B,1583.8500_0B,2011-02-25,08:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1583.8500_0A,U,      94,NULL
A,1584.8708_0A,2011-02-26,08:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1584.9125_0B,O,      87, OVR
B,1584.9125_0B,2011-02-26,09:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1584.8708_0A,O,      94, OVR
A,1585.1417_0Ac,2011-02-26,15:24:00,     294,      50,     483,      26,     476,      27,1585.2042_0Bc,F,      87, OFL
B,1585.2042_0Bc,2011-02-26,16:54:30,      62,      59,     476,      30,     388,      13,1585.1417_0Ac,F,      94, OFL
A,1585.1417_1A,2011-02-26,15:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1585.1833_0B,O,      87,NULL
B,1585.1833_0B,2011-02-26,16:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1585.1417_1A,O,      94,NULL
A,1586.2667_0A,2011-02-27,18:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1586.2875_0B,OP,      87,NULL
B,1586.2875_0B,2011-02-27,18:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1586.2667_0A,OP,      94,NULL
A,1588.4958_0A,2011-03-01,23:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1588.5583_0B,U,      87,NULL
B,1588.5583_0B,2011-03-02,01:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1588.4958_0A,U,      94,NULL
A,1588.5167_0A,2011-03-02,00:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1588.5583_1B,F,      87,NULL
B,1588.5583_1B,2011-03-02,01:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1588.5167_0A,F,      94,NULL
A,1589.6625_0Ac,2011-03-03,04:39:00,     106,      36,     409,      19,     295,      17,1589.6833_0B,F,      87, OFL
B,1589.6833_0B,2011-03-03,04:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1589.6625_0Ac,F,      94, OFL
A,1590.2667_0A,2011-03-03,18:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1590.2875_0B,W,      87, FF
B,1590.2875_0B,2011-03-03,18:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1590.2667_0A,W,      94, FF
A,1590.4333_0A,2011-03-03,22:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1590.4438_0B,F,      87, DPL ;  OVR
B,1590.4438_0B,2011-03-03,22:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1590.4333_0A,F,      94, DPL ;  OVR
A,1590.8500_0A,2011-03-04,08:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1590.8292_0B,LPS,      87, faint ; HAL ;  OVR
B,1590.8292_0B,2011-03-04,07:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1590.8500_0A,LPS,      94, faint ; HAL ;  OVR
