no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h	pre_a_1h_download_c2	pre_b_1h_download_c2	pre_a_2h_download_c2	pre_b_2h_download_c2
516	2010-10-07	15:08:15	2010-10-07	16:09:14	0	0	23.411	222.254	82.809	-78.347	83.172	77.946	*	2010-10-07 15:08:15	2010-10-07 16:09:14	2010-10-07 14:08:15	2010-10-07 15:09:14	2010-10-07 13:08:15	2010-10-07 14:09:14	/gehme/data/soho/lasco/level_05/c2/20101007/22346345.fts	/gehme/data/soho/lasco/level_05/c2/20101007/22346351.fts	/gehme/data/soho/lasco/level_05/c2/20101007/22346341.fts	/gehme/data/soho/lasco/level_05/c2/20101007/22346345.fts
517	2010-10-08	19:08:15	2010-10-08	20:09:14	270	90	8.063	206.699	82.853	-78.511	83.227	*	*	2010-10-08 19:08:15	2010-10-08 20:09:14	2010-10-08 18:08:15	2010-10-08 19:09:14	2010-10-08 17:08:15	2010-10-08 18:09:14	/gehme/data/soho/lasco/level_05/c2/20101008/22346489.fts	/gehme/data/soho/lasco/level_05/c2/20101008/22346494.fts	/gehme/data/soho/lasco/level_05/c2/20101008/22346484.fts	/gehme/data/soho/lasco/level_05/c2/20101008/22346489.fts
518	2010-10-11	01:08:15	2010-10-11	00:09:14	0	0	339.002	177.247	82.934	-78.821	83.329	78.402	*	2010-10-11 01:08:15	2010-10-11 00:09:14	2010-10-11 00:08:15	2010-10-10 23:09:14	2010-10-10 23:08:15	2010-10-10 22:09:14	/gehme/data/soho/lasco/level_05/c2/20101011/22346770.fts	/gehme/data/soho/lasco/level_05/c2/20101010/22346764.fts	/gehme/data/soho/lasco/level_05/c2/20101010/22346764.fts	/gehme/data/soho/lasco/level_05/c2/20101010/22346761.fts
519	2010-10-11	05:08:15	2010-10-11	06:09:14	90	270	336.270	174.478	82.942	-78.851	83.339	78.431	*	2010-10-11 05:08:15	2010-10-11 06:09:14	2010-10-11 04:08:15	2010-10-11 05:09:14	2010-10-11 03:08:15	2010-10-11 04:09:14	/gehme/data/soho/lasco/level_05/c2/20101011/22346790.fts	/gehme/data/soho/lasco/level_05/c2/20101011/22346795.fts	/gehme/data/soho/lasco/level_05/c2/20101011/22346785.fts	/gehme/data/soho/lasco/level_05/c2/20101011/22346790.fts
520	2010-10-14	23:08:15	2010-10-15	00:09:14	45	315	286.939	124.481	83.079	-79.379	83.505	78.946	*	2010-10-14 23:08:15	2010-10-15 00:09:14	2010-10-14 22:08:15	2010-10-14 23:09:14	2010-10-14 21:08:15	2010-10-14 22:09:14	/gehme/data/soho/lasco/level_05/c2/20101014/22347259.fts	/gehme/data/soho/lasco/level_05/c2/20101014/22347262.fts	/gehme/data/soho/lasco/level_05/c2/20101014/22347254.fts	/gehme/data/soho/lasco/level_05/c2/20101014/22347259.fts
521	2010-10-17	14:08:15	2010-10-17	16:09:14	315	45	252.409	89.485	83.174	-79.750	83.616	*	*	2010-10-17 14:08:15	2010-10-17 16:09:14	2010-10-17 13:08:15	2010-10-17 15:09:14	2010-10-17 12:08:15	2010-10-17 14:09:14	/gehme/data/soho/lasco/level_05/c2/20101017/22347579.fts	/gehme/data/soho/lasco/level_05/c2/20101017/22347590.fts	/gehme/data/soho/lasco/level_05/c2/20101017/22347575.fts	/gehme/data/soho/lasco/level_05/c2/20101017/22347583.fts
522	2010-10-17	22:08:15	2010-10-17	23:09:14	135	225	248.024	85.041	83.186	-79.797	83.630	79.357	*	2010-10-17 22:08:15	2010-10-17 23:09:14	2010-10-17 21:08:15	2010-10-17 22:09:14	2010-10-17 20:08:15	2010-10-17 21:09:14	/gehme/data/soho/lasco/level_05/c2/20101017/22347624.fts	/gehme/data/soho/lasco/level_05/c2/20101017/22347629.fts	/gehme/data/soho/lasco/level_05/c2/20101017/22347615.fts	/gehme/data/soho/lasco/level_05/c2/20101017/22347624.fts
523	2010-10-22	02:08:15	2010-10-22	03:09:14	45	315	193.217	29.495	83.337	-80.385	83.798	79.944	*	2010-10-22 02:08:15	2010-10-22 03:09:14	2010-10-22 01:08:15	2010-10-22 02:09:14	2010-10-22 00:08:15	2010-10-22 01:09:14	/gehme/data/soho/lasco/level_05/c2/20101022/22348216.fts	/gehme/data/soho/lasco/level_05/c2/20101022/22348220.fts	/gehme/data/soho/lasco/level_05/c2/20101022/22348212.fts	/gehme/data/soho/lasco/level_05/c2/20101022/22348216.fts
524	2010-10-26	00:08:15	2010-10-26	01:09:14	Halo	Halo	141.702	337.287	83.478	-80.937	83.947	80.502	*	2010-10-26 00:08:15	2010-10-26 01:09:14	2010-10-25 23:08:15	2010-10-26 00:09:14	2010-10-25 22:08:15	2010-10-25 23:09:14	/gehme/data/soho/lasco/level_05/c2/20101025/22348697.fts	/gehme/data/soho/lasco/level_05/c2/20101026/22348702.fts	/gehme/data/soho/lasco/level_05/c2/20101025/22348694.fts	/gehme/data/soho/lasco/level_05/c2/20101025/22348697.fts
525	2010-10-26	15:08:15	2010-10-26	16:09:14	135/315	225/0	133.482	328.957	83.501	-81.025	83.970	80.592	*	2010-10-26 15:08:15	2010-10-26 16:09:14	2010-10-26 14:08:15	2010-10-26 15:09:14	2010-10-26 13:08:15	2010-10-26 14:09:14	/gehme/data/soho/lasco/level_05/c2/20101026/22348772.fts	/gehme/data/soho/lasco/level_05/c2/20101026/22348779.fts	/gehme/data/soho/lasco/level_05/c2/20101026/22348768.fts	/gehme/data/soho/lasco/level_05/c2/20101026/22348772.fts
526	2010-10-27	09:08:15	2010-10-27	10:09:14	315	45	123.618	318.960	83.528	-81.130	83.997	*	*	2010-10-27 09:08:15	2010-10-27 10:09:14	2010-10-27 08:08:15	2010-10-27 09:09:14	2010-10-27 07:08:15	2010-10-27 08:09:14	/gehme/data/soho/lasco/level_05/c2/20101027/22348866.fts	/gehme/data/soho/lasco/level_05/c2/20101027/22348873.fts	/gehme/data/soho/lasco/level_05/c2/20101027/22348861.fts	/gehme/data/soho/lasco/level_05/c2/20101027/22348866.fts
527	2010-10-28	04:08:15	2010-10-28	06:09:13	315	45	113.207	308.408	83.556	-81.242	84.025	*	*	2010-10-28 04:08:15	2010-10-28 06:09:13	2010-10-28 03:08:15	2010-10-28 05:09:13	2010-10-28 02:08:15	2010-10-28 04:09:13	/gehme/data/soho/lasco/level_05/c2/20101028/22348965.fts	/gehme/data/soho/lasco/level_05/c2/20101028/22348975.fts	/gehme/data/soho/lasco/level_05/c2/20101028/22348958.fts	/gehme/data/soho/lasco/level_05/c2/20101028/22348970.fts
528	2010-10-28	16:08:15	2010-10-28	15:09:13	225	90	107.170	302.290	83.573	-81.306	84.041	*	*	2010-10-28 16:08:15	2010-10-28 15:09:13	2010-10-28 15:08:15	2010-10-28 14:09:13	2010-10-28 14:08:15	2010-10-28 13:09:13	/gehme/data/soho/lasco/level_05/c2/20101028/22349027.fts	/gehme/data/soho/lasco/level_05/c2/20101028/22349020.fts	/gehme/data/soho/lasco/level_05/c2/20101028/22349020.fts	/gehme/data/soho/lasco/level_05/c2/20101028/22349016.fts
529	2010-10-29	15:08:15	2010-10-29	15:09:13	225/90	135/270	94.027	288.972	83.609	*	*	*	*	2010-10-29 15:08:15	2010-10-29 15:09:13	2010-10-29 14:08:15	2010-10-29 14:09:13	2010-10-29 13:08:15	2010-10-29 13:09:13	/gehme/data/soho/lasco/level_05/c2/20101029/22349099.fts	/gehme/data/soho/lasco/level_05/c2/20101029/22349099.fts	/gehme/data/soho/lasco/level_05/c2/20101029/22349095.fts	/gehme/data/soho/lasco/level_05/c2/20101029/22349095.fts
530	2010-10-31	03:08:15	2010-10-31	05:09:13	225	135	74.301	268.981	83.662	-81.658	84.127	*	*	2010-10-31 03:08:15	2010-10-31 05:09:13	2010-10-31 02:08:15	2010-10-31 04:09:13	2010-10-31 01:08:15	2010-10-31 03:09:13	/gehme/data/soho/lasco/level_05/c2/20101031/22349245.fts	/gehme/data/soho/lasco/level_05/c2/20101031/22349257.fts	/gehme/data/soho/lasco/level_05/c2/20101031/22349241.fts	/gehme/data/soho/lasco/level_05/c2/20101031/22349252.fts
531	2010-11-03	09:08:15	2010-11-03	10:09:13	90/315	270/45	31.562	225.670	*	*	*	*	*	2010-11-03 09:08:15	2010-11-03 10:09:13	2010-11-03 08:08:15	2010-11-03 09:09:13	2010-11-03 07:08:15	2010-11-03 08:09:13	/gehme/data/soho/lasco/level_05/c2/20101103/22349648.fts	/gehme/data/soho/lasco/level_05/c2/20101103/22349655.fts	/gehme/data/soho/lasco/level_05/c2/20101103/22349643.fts	/gehme/data/soho/lasco/level_05/c2/20101103/22349648.fts
532	2010-11-04	03:08:15	2010-11-04	03:09:13	pH	Halo	21.700	215.676	83.805	-82.219	84.256	81.827	*	2010-11-04 03:08:15	2010-11-04 03:09:13	2010-11-04 02:08:15	2010-11-04 02:09:13	2010-11-04 01:08:15	2010-11-04 01:09:13	/gehme/data/soho/lasco/level_05/c2/20101104/22349741.fts	/gehme/data/soho/lasco/level_05/c2/20101104/22349741.fts	/gehme/data/soho/lasco/level_05/c2/20101104/22349737.fts	/gehme/data/soho/lasco/level_05/c2/20101104/22349737.fts
533	2010-11-04	09:08:15	2010-11-04	11:09:13	45	270	18.413	212.345	83.814	-82.254	84.264	81.864	*	2010-11-04 09:08:15	2010-11-04 11:09:13	2010-11-04 08:08:15	2010-11-04 10:09:13	2010-11-04 07:08:15	2010-11-04 09:09:13	/gehme/data/soho/lasco/level_05/c2/20101104/22349773.fts	/gehme/data/soho/lasco/level_05/c2/20101104/22349785.fts	/gehme/data/soho/lasco/level_05/c2/20101104/22349768.fts	/gehme/data/soho/lasco/level_05/c2/20101104/22349780.fts
534	2010-11-08	01:08:15	2010-11-08	00:09:13	315	45	330.738	164.035	83.944	-82.760	84.373	*	*	2010-11-08 01:08:15	2010-11-08 00:09:13	2010-11-08 00:08:15	2010-11-07 23:09:13	2010-11-07 23:08:15	2010-11-07 22:09:13	/gehme/data/soho/lasco/level_05/c2/20101108/22350201.fts	/gehme/data/soho/lasco/level_05/c2/20101107/22350195.fts	/gehme/data/soho/lasco/level_05/c2/20101107/22350195.fts	/gehme/data/soho/lasco/level_05/c2/20101107/22350192.fts
535	2010-11-09	03:08:15	2010-11-09	04:09:12	45	315	315.956	149.056	83.984	-82.916	84.405	82.563	*	2010-11-09 03:08:15	2010-11-09 04:09:12	2010-11-09 02:08:15	2010-11-09 03:09:12	2010-11-09 01:08:15	2010-11-09 02:09:12	/gehme/data/soho/lasco/level_05/c2/20101109/22350334.fts	/gehme/data/soho/lasco/level_05/c2/20101109/22350341.fts	/gehme/data/soho/lasco/level_05/c2/20101109/22350330.fts	/gehme/data/soho/lasco/level_05/c2/20101109/22350334.fts
536	2010-11-09	15:08:15	2010-11-09	15:09:12	225	135	309.382	142.395	84.002	-82.985	84.419	*	*	2010-11-09 15:08:15	2010-11-09 15:09:12	2010-11-09 14:08:15	2010-11-09 14:09:12	2010-11-09 13:08:15	2010-11-09 13:09:12	/gehme/data/soho/lasco/level_05/c2/20101109/22350396.fts	/gehme/data/soho/lasco/level_05/c2/20101109/22350396.fts	/gehme/data/soho/lasco/level_05/c2/20101109/22350392.fts	/gehme/data/soho/lasco/level_05/c2/20101109/22350392.fts
537	2010-11-10	13:08:15	2010-11-10	10:09:12	45	315	298.964	131.839	84.031	-83.094	84.442	82.754	*	2010-11-10 13:08:15	2010-11-10 10:09:12	2010-11-10 12:08:15	2010-11-10 09:09:12	2010-11-10 11:08:15	2010-11-10 08:09:12	/gehme/data/soho/lasco/level_05/c2/20101110/22350510.fts	/gehme/data/soho/lasco/level_05/c2/20101110/22350495.fts	/gehme/data/soho/lasco/level_05/c2/20101110/22350505.fts	/gehme/data/soho/lasco/level_05/c2/20101110/22350488.fts
538	2010-11-11	11:08:15	2010-11-11	13:09:12	270	90	285.278	117.972	84.068	-83.238	84.471	*	*	2010-11-11 11:08:15	2010-11-11 13:09:12	2010-11-11 10:08:15	2010-11-11 12:09:12	2010-11-11 09:08:15	2010-11-11 11:09:12	/gehme/data/soho/lasco/level_05/c2/20101111/22350624.fts	/gehme/data/soho/lasco/level_05/c2/20101111/22350634.fts	/gehme/data/soho/lasco/level_05/c2/20101111/22350619.fts	/gehme/data/soho/lasco/level_05/c2/20101111/22350629.fts
539	2010-11-11	18:08:15	2010-11-11	19:09:12	135	225	281.443	114.086	84.079	-83.278	84.479	82.950	*	2010-11-11 18:08:15	2010-11-11 19:09:12	2010-11-11 17:08:15	2010-11-11 18:09:12	2010-11-11 16:08:15	2010-11-11 17:09:12	/gehme/data/soho/lasco/level_05/c2/20101111/22350659.fts	/gehme/data/soho/lasco/level_05/c2/20101111/22350664.fts	/gehme/data/soho/lasco/level_05/c2/20101111/22350654.fts	/gehme/data/soho/lasco/level_05/c2/20101111/22350659.fts
540	2010-11-12	11:08:15	2010-11-12	11:09:12	135	225	272.130	104.651	84.104	-83.375	84.498	83.055	*	2010-11-12 11:08:15	2010-11-12 11:09:12	2010-11-12 10:08:15	2010-11-12 10:09:12	2010-11-12 09:08:15	2010-11-12 09:09:12	/gehme/data/soho/lasco/level_05/c2/20101112/22350748.fts	/gehme/data/soho/lasco/level_05/c2/20101112/22350748.fts	/gehme/data/soho/lasco/level_05/c2/20101112/22350743.fts	/gehme/data/soho/lasco/level_05/c2/20101112/22350743.fts
541	2010-11-13	11:08:15	2010-11-13	13:09:12	90	270	258.983	91.330	84.141	-83.512	84.526	83.202	*	2010-11-13 11:08:15	2010-11-13 13:09:12	2010-11-13 10:08:15	2010-11-13 12:09:12	2010-11-13 09:08:15	2010-11-13 11:09:12	/gehme/data/soho/lasco/level_05/c2/20101113/22350862.fts	/gehme/data/soho/lasco/level_05/c2/20101113/22350872.fts	/gehme/data/soho/lasco/level_05/c2/20101113/22350857.fts	/gehme/data/soho/lasco/level_05/c2/20101113/22350867.fts
542	2010-11-13	20:08:15	2010-11-13	20:09:12	90	270	254.053	86.335	84.155	-83.564	84.536	83.257	*	2010-11-13 20:08:15	2010-11-13 20:09:12	2010-11-13 19:08:15	2010-11-13 19:09:12	2010-11-13 18:08:15	2010-11-13 18:09:12	/gehme/data/soho/lasco/level_05/c2/20101113/22350907.fts	/gehme/data/soho/lasco/level_05/c2/20101113/22350907.fts	/gehme/data/soho/lasco/level_05/c2/20101113/22350902.fts	/gehme/data/soho/lasco/level_05/c2/20101113/22350902.fts
543	2010-11-14	00:08:15	2010-11-14	02:09:12	270/90	90/225	251.862	84.115	84.161	*	*	*	*	2010-11-14 00:08:15	2010-11-14 02:09:12	2010-11-13 23:08:15	2010-11-14 01:09:12	2010-11-13 22:08:15	2010-11-14 00:09:12	/gehme/data/soho/lasco/level_05/c2/20101113/22350929.fts	/gehme/data/soho/lasco/level_05/c2/20101114/22350938.fts	/gehme/data/soho/lasco/level_05/c2/20101113/22350926.fts	/gehme/data/soho/lasco/level_05/c2/20101114/22350934.fts
544	2010-11-14	19:08:15	2010-11-14	19:09:12	270	90	241.454	73.570	84.190	-83.694	*	*	*	2010-11-14 19:08:15	2010-11-14 19:09:12	2010-11-14 18:08:15	2010-11-14 18:09:12	2010-11-14 17:08:15	2010-11-14 17:09:12	/gehme/data/soho/lasco/level_05/c2/20101114/22351026.fts	/gehme/data/soho/lasco/level_05/c2/20101114/22351026.fts	/gehme/data/soho/lasco/level_05/c2/20101114/22351021.fts	/gehme/data/soho/lasco/level_05/c2/20101114/22351021.fts
545	2010-11-15	18:08:15	2010-11-15	18:09:11	90	225	228.856	60.806	84.225	-83.825	84.586	83.540	*	2010-11-15 18:08:15	2010-11-15 18:09:11	2010-11-15 17:08:15	2010-11-15 17:09:11	2010-11-15 16:08:15	2010-11-15 16:09:11	/gehme/data/soho/lasco/level_05/c2/20101115/22351145.fts	/gehme/data/soho/lasco/level_05/c2/20101115/22351145.fts	/gehme/data/soho/lasco/level_05/c2/20101115/22351140.fts	/gehme/data/soho/lasco/level_05/c2/20101115/22351140.fts
546	2010-11-16	14:08:15	2010-11-16	15:09:11	135	225	217.901	49.708	84.255	-83.938	84.608	83.662	*	2010-11-16 14:08:15	2010-11-16 15:09:11	2010-11-16 13:08:15	2010-11-16 14:09:11	2010-11-16 12:08:15	2010-11-16 13:09:11	/gehme/data/soho/lasco/level_05/c2/20101116/22351248.fts	/gehme/data/soho/lasco/level_05/c2/20101116/22351252.fts	/gehme/data/soho/lasco/level_05/c2/20101116/22351244.fts	/gehme/data/soho/lasco/level_05/c2/20101116/22351248.fts
547	2010-11-19	05:08:15	2010-11-19	08:09:11	135	225	183.394	14.749	84.353	-84.292	84.675	84.048	*	2010-11-19 05:08:15	2010-11-19 08:09:11	2010-11-19 04:08:15	2010-11-19 07:09:11	2010-11-19 03:08:15	2010-11-19 06:09:11	/gehme/data/soho/lasco/level_05/c2/20101119/22351567.fts	/gehme/data/soho/lasco/level_05/c2/20101119/22351582.fts	/gehme/data/soho/lasco/level_05/c2/20101119/22351562.fts	/gehme/data/soho/lasco/level_05/c2/20101119/22351577.fts
548	2010-11-20	*	2010-11-20	07:09:11	*	360	169.144	0.314	84.393	-84.437	84.702	84.207	168.908		2010-11-20 07:09:11	NaT	2010-11-20 06:09:11	NaT	2010-11-20 05:09:11	*	/gehme/data/soho/lasco/level_05/c2/20101120/22351686.fts	*	/gehme/data/soho/lasco/level_05/c2/20101120/22351681.fts
549	2010-11-22	01:08:15	2010-11-22	03:09:10	360/90	360/270	146.150	337.022	84.458	-84.671	*	*	*	2010-11-22 01:08:15	2010-11-22 03:09:10	2010-11-22 00:08:15	2010-11-22 02:09:10	2010-11-21 23:08:15	2010-11-22 01:09:10	/gehme/data/soho/lasco/level_05/c2/20101122/22351915.fts	/gehme/data/soho/lasco/level_05/c2/20101122/22351923.fts	/gehme/data/soho/lasco/level_05/c2/20101121/22351911.fts	/gehme/data/soho/lasco/level_05/c2/20101122/22351921.fts
550	2010-11-23	13:08:15	2010-11-23	14:09:10	315	45	126.434	317.051	84.514	-84.870	84.780	*	*	2010-11-23 13:08:15	2010-11-23 14:09:10	2010-11-23 12:08:15	2010-11-23 13:09:10	2010-11-23 11:08:15	2010-11-23 12:09:10	/gehme/data/soho/lasco/level_05/c2/20101123/22352101.fts	/gehme/data/soho/lasco/level_05/c2/20101123/22352105.fts	/gehme/data/soho/lasco/level_05/c2/20101123/22352096.fts	/gehme/data/soho/lasco/level_05/c2/20101123/22352101.fts
551	2010-11-24	09:08:15	2010-11-24	10:09:10	135	270	115.481	305.956	84.545	-84.980	84.800	84.803	*	2010-11-24 09:08:15	2010-11-24 10:09:10	2010-11-24 08:08:15	2010-11-24 09:09:10	2010-11-24 07:08:15	2010-11-24 08:09:10	/gehme/data/soho/lasco/level_05/c2/20101124/22352203.fts	/gehme/data/soho/lasco/level_05/c2/20101124/22352210.fts	/gehme/data/soho/lasco/level_05/c2/20101124/22352198.fts	/gehme/data/soho/lasco/level_05/c2/20101124/22352203.fts
552	2010-11-26	00:08:15	2010-11-26	01:09:10	225	135	94.123	284.324	84.605	-85.194	84.837	*	*	2010-11-26 00:08:15	2010-11-26 01:09:10	2010-11-25 23:08:15	2010-11-26 00:09:10	2010-11-25 22:08:15	2010-11-25 23:09:10	/gehme/data/soho/lasco/level_05/c2/20101125/22352407.fts	/gehme/data/soho/lasco/level_05/c2/20101126/22352413.fts	/gehme/data/soho/lasco/level_05/c2/20101125/22352404.fts	/gehme/data/soho/lasco/level_05/c2/20101125/22352407.fts
553	2010-11-26	11:08:15	2010-11-26	11:09:10	225	135	88.099	278.222	84.622	-85.254	84.847	*	*	2010-11-26 11:08:15	2010-11-26 11:09:10	2010-11-26 10:08:15	2010-11-26 10:09:10	2010-11-26 09:08:15	2010-11-26 09:09:10	/gehme/data/soho/lasco/level_05/c2/20101126/22352465.fts	/gehme/data/soho/lasco/level_05/c2/20101126/22352465.fts	/gehme/data/soho/lasco/level_05/c2/20101126/22352460.fts	/gehme/data/soho/lasco/level_05/c2/20101126/22352460.fts
554	2010-11-27	04:08:15	2010-11-27	04:09:10	225	135	78.789	268.794	84.648	-85.347	84.863	*	*	2010-11-27 04:08:15	2010-11-27 04:09:10	2010-11-27 03:08:15	2010-11-27 03:09:10	2010-11-27 02:08:15	2010-11-27 02:09:10	/gehme/data/soho/lasco/level_05/c2/20101127/22352547.fts	/gehme/data/soho/lasco/level_05/c2/20101127/22352547.fts	/gehme/data/soho/lasco/level_05/c2/20101127/22352541.fts	/gehme/data/soho/lasco/level_05/c2/20101127/22352541.fts
555	2010-11-29	07:08:15	2010-11-29	08:09:09	90	270	50.860	240.509	84.727	-85.624	84.909	85.518	*	2010-11-29 07:08:15	2010-11-29 08:09:09	2010-11-29 06:08:15	2010-11-29 07:09:09	2010-11-29 05:08:15	2010-11-29 06:09:09	/gehme/data/soho/lasco/level_05/c2/20101129/22352785.fts	/gehme/data/soho/lasco/level_05/c2/20101129/22352790.fts	/gehme/data/soho/lasco/level_05/c2/20101129/22352780.fts	/gehme/data/soho/lasco/level_05/c2/20101129/22352785.fts
556	2010-11-29	23:08:15	2010-11-29	23:09:09	135/270	45/225	42.099	231.637	84.751	-85.711	*	*	*	2010-11-29 23:08:15	2010-11-29 23:09:09	2010-11-29 22:08:15	2010-11-29 22:09:09	2010-11-29 21:08:15	2010-11-29 21:09:09	/gehme/data/soho/lasco/level_05/c2/20101129/22352871.fts	/gehme/data/soho/lasco/level_05/c2/20101129/22352871.fts	/gehme/data/soho/lasco/level_05/c2/20101129/22352866.fts	/gehme/data/soho/lasco/level_05/c2/20101129/22352866.fts
557	2010-11-30	22:08:15	2010-11-30	23:09:09	90	270	29.504	218.883	84.786	-85.835	84.944	85.752	*	2010-11-30 22:08:15	2010-11-30 23:09:09	2010-11-30 21:08:15	2010-11-30 22:09:09	2010-11-30 20:08:15	2010-11-30 21:09:09	/gehme/data/soho/lasco/level_05/c2/20101130/22352989.fts	/gehme/data/soho/lasco/level_05/c2/20101130/22352994.fts	/gehme/data/soho/lasco/level_05/c2/20101130/22352980.fts	/gehme/data/soho/lasco/level_05/c2/20101130/22352989.fts
558	2010-12-02	13:08:15	2010-12-02	16:09:09	270	90	8.148	197.258	84.845	-86.045	*	*	*	2010-12-02 13:08:15	2010-12-02 16:09:09	2010-12-02 12:08:15	2010-12-02 15:09:09	2010-12-02 11:08:15	2010-12-02 14:09:09	/gehme/data/soho/lasco/level_05/c2/20101202/22353189.fts	/gehme/data/soho/lasco/level_05/c2/20101202/22353204.fts	/gehme/data/soho/lasco/level_05/c2/20101202/22353184.fts	/gehme/data/soho/lasco/level_05/c2/20101202/22353197.fts
559	2010-12-05	05:08:15	2010-12-05	07:09:08	270	90	333.104	161.775	84.942	-86.386	85.031	*	*	2010-12-05 05:08:15	2010-12-05 07:09:08	2010-12-05 04:08:15	2010-12-05 06:09:08	2010-12-05 03:08:15	2010-12-05 05:09:08	/gehme/data/soho/lasco/level_05/c2/20101205/22353509.fts	/gehme/data/soho/lasco/level_05/c2/20101205/22353519.fts	/gehme/data/soho/lasco/level_05/c2/20101205/22353504.fts	/gehme/data/soho/lasco/level_05/c2/20101205/22353514.fts
560	2010-12-06	17:08:15	2010-12-06	16:09:08	315	45	313.930	142.364	84.995	-86.572	85.059	*	*	2010-12-06 17:08:15	2010-12-06 16:09:08	2010-12-06 16:08:15	2010-12-06 15:09:08	2010-12-06 15:08:15	2010-12-06 14:09:08	/gehme/data/soho/lasco/level_05/c2/20101206/22353696.fts	/gehme/data/soho/lasco/level_05/c2/20101206/22353691.fts	/gehme/data/soho/lasco/level_05/c2/20101206/22353691.fts	/gehme/data/soho/lasco/level_05/c2/20101206/22353684.fts
561	2010-12-07	00:08:15	2010-12-06	23:09:08	135	225	310.098	138.484	85.005	-86.609	85.065	86.617	*	2010-12-07 00:08:15	2010-12-06 23:09:08	2010-12-06 23:08:15	2010-12-06 22:09:08	2010-12-06 22:08:15	2010-12-06 21:09:08	/gehme/data/soho/lasco/level_05/c2/20101206/22353733.fts	/gehme/data/soho/lasco/level_05/c2/20101206/22353730.fts	/gehme/data/soho/lasco/level_05/c2/20101206/22353730.fts	/gehme/data/soho/lasco/level_05/c2/20101206/22353725.fts
562	2010-12-07	17:08:15	2010-12-07	19:09:07	90	270	300.251	128.516	85.032	-86.703	85.079	86.723	*	2010-12-07 17:08:15	2010-12-07 19:09:07	2010-12-07 16:08:15	2010-12-07 18:09:07	2010-12-07 15:08:15	2010-12-07 17:09:07	/gehme/data/soho/lasco/level_05/c2/20101207/22353819.fts	/gehme/data/soho/lasco/level_05/c2/20101207/22353830.fts	/gehme/data/soho/lasco/level_05/c2/20101207/22353816.fts	/gehme/data/soho/lasco/level_05/c2/20101207/22353825.fts
563	2010-12-08	15:08:15	2010-12-08	16:09:07	45	315	288.205	116.322	85.065	-86.818	85.097	86.853	*	2010-12-08 15:08:15	2010-12-08 16:09:07	2010-12-08 14:08:15	2010-12-08 15:09:07	2010-12-08 13:08:15	2010-12-08 14:09:07	/gehme/data/soho/lasco/level_05/c2/20101208/22353933.fts	/gehme/data/soho/lasco/level_05/c2/20101208/22353940.fts	/gehme/data/soho/lasco/level_05/c2/20101208/22353929.fts	/gehme/data/soho/lasco/level_05/c2/20101208/22353933.fts
564	2010-12-10	12:08:15	2010-12-10	14:09:07	315	45	263.567	91.382	85.132	-87.053	85.133	*	*	2010-12-10 12:08:15	2010-12-10 14:09:07	2010-12-10 11:08:15	2010-12-10 13:09:07	2010-12-10 10:08:15	2010-12-10 12:09:07	/gehme/data/soho/lasco/level_05/c2/20101210/22354164.fts	/gehme/data/soho/lasco/level_05/c2/20101210/22354173.fts	/gehme/data/soho/lasco/level_05/c2/20101210/22354159.fts	/gehme/data/soho/lasco/level_05/c2/20101210/22354169.fts
565	2010-12-11	08:08:15	2010-12-11	17:09:07	270	45	252.616	80.298	85.162	-87.156	85.149	*	*	2010-12-11 08:08:15	2010-12-11 17:09:07	2010-12-11 07:08:15	2010-12-11 16:09:07	2010-12-11 06:08:15	2010-12-11 15:09:07	/gehme/data/soho/lasco/level_05/c2/20101211/22354264.fts	/gehme/data/soho/lasco/level_05/c2/20101211/22354312.fts	/gehme/data/soho/lasco/level_05/c2/20101211/22354261.fts	/gehme/data/soho/lasco/level_05/c2/20101211/22354307.fts
566a	2010-12-12	08:08:15	2010-12-12	10:09:06	45/135	225/315	239.476	66.999	85.198	-87.280	85.168	87.370	172.538	2010-12-12 08:08:15	2010-12-12 10:09:06	2010-12-12 07:08:15	2010-12-12 09:09:06	2010-12-12 06:08:15	2010-12-12 08:09:06	/gehme/data/soho/lasco/level_05/c2/20101212/22354390.fts	/gehme/data/soho/lasco/level_05/c2/20101212/22354402.fts	/gehme/data/soho/lasco/level_05/c2/20101212/22354385.fts	/gehme/data/soho/lasco/level_05/c2/20101212/22354395.fts
566b	2010-12-12	*	2010-12-12	*	*	*	*	*	*	*	*	*	*			NaT	NaT	NaT	NaT	*	*	*	*
567	2010-12-12	17:08:15	2010-12-12	19:09:06	135	225	234.549	62.012	85.211	-87.326	*	*	*	2010-12-12 17:08:15	2010-12-12 19:09:06	2010-12-12 16:08:15	2010-12-12 18:09:06	2010-12-12 15:08:15	2010-12-12 17:09:06	/gehme/data/soho/lasco/level_05/c2/20101212/22354437.fts	/gehme/data/soho/lasco/level_05/c2/20101212/22354447.fts	/gehme/data/soho/lasco/level_05/c2/20101212/22354432.fts	/gehme/data/soho/lasco/level_05/c2/20101212/22354442.fts
