no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h	pre_a_1h_download_c2	pre_b_1h_download_c2	pre_a_2h_download_c2	pre_b_2h_download_c2
27	2007-04-10	03:52:30	2007-04-10	05:23:02	270	270	235.117	231.298	2.827	-0.991	2.818	*	*	2007-04-10 03:52:30	2007-04-10 05:23:02	2007-04-10 02:52:30	2007-04-10 04:23:02	2007-04-10 01:52:30	2007-04-10 03:23:02	/gehme/data/soho/lasco/level_05/c2/20070410/22251328.fts	/gehme/data/soho/lasco/level_05/c2/20070410/22251333.fts	/gehme/data/soho/lasco/level_05/c2/20070410/22251325.fts	/gehme/data/soho/lasco/level_05/c2/20070410/22251330.fts
28	2007-04-14	17:22:30	2007-04-14	17:23:04	270	270	175.160	170.909	3.100	-1.151	3.095	1.184	*	2007-04-14 17:22:30	2007-04-14 17:23:04	2007-04-14 16:22:30	2007-04-14 16:23:04	2007-04-14 15:22:30	2007-04-14 15:23:04	/gehme/data/soho/lasco/level_05/c2/20070414/22251645.fts	/gehme/data/soho/lasco/level_05/c2/20070414/22251645.fts	/gehme/data/soho/lasco/level_05/c2/20070414/22251642.fts	/gehme/data/soho/lasco/level_05/c2/20070414/22251642.fts
29	2007-04-17	12:22:30	2007-04-17	12:23:05	135	135	138.473	133.943	3.274	-1.256	3.271	1.292	4.549	2007-04-17 12:22:30	2007-04-17 12:23:05	2007-04-17 11:22:30	2007-04-17 11:23:05	2007-04-17 10:22:30	2007-04-17 10:23:05	/gehme/data/soho/lasco/level_05/c2/20070417/22251842.fts	/gehme/data/soho/lasco/level_05/c2/20070417/22251842.fts	/gehme/data/soho/lasco/level_05/c2/20070417/22251839.fts	/gehme/data/soho/lasco/level_05/c2/20070417/22251839.fts
30	2007-04-18	22:52:30	2007-04-18	*	90	*	119.582	114.903	3.366	-1.313	3.365	1.350	*	2007-04-18 22:52:30		2007-04-18 21:52:30	NaT	2007-04-18 20:52:30	NaT	/gehme/data/soho/lasco/level_05/c2/20070418/22251944.fts	*	/gehme/data/soho/lasco/level_05/c2/20070418/22251938.fts	*
31	2007-05-01	11:22:30	2007-05-01	*	90	*	315.030	308.935	4.232	-1.862	4.249	1.911	*	2007-05-01 11:22:30		2007-05-01 10:22:30	NaT	2007-05-01 09:22:30	NaT	/gehme/data/soho/lasco/level_05/c2/20070501/22252815.fts	*	/gehme/data/soho/lasco/level_05/c2/20070501/22252812.fts	*
32	2007-05-06	01:52:30	2007-05-06	02:23:13	90	90	254.518	247.847	4.580	-2.092	4.604	2.145	6.738	2007-05-06 01:52:30	2007-05-06 02:23:13	2007-05-06 00:52:30	2007-05-06 01:23:13	2007-05-05 23:52:30	2007-05-06 00:23:13	/gehme/data/soho/lasco/level_05/c2/20070506/22253559.fts	/gehme/data/soho/lasco/level_05/c2/20070506/22253134.fts	/gehme/data/soho/lasco/level_05/c2/20070505/22253130.fts	/gehme/data/soho/lasco/level_05/c2/20070506/22253558.fts
33	2007-05-07	16:22:30	2007-05-07	17:53:14	90	90	233.435	226.555	4.704	-2.175	4.731	*	*	2007-05-07 16:22:30	2007-05-07 17:53:14	2007-05-07 15:22:30	2007-05-07 16:53:14	2007-05-07 14:22:30	2007-05-07 15:53:14	/gehme/data/soho/lasco/level_05/c2/20070507/22253677.fts	/gehme/data/soho/lasco/level_05/c2/20070507/22253681.fts	/gehme/data/soho/lasco/level_05/c2/20070507/22253671.fts	/gehme/data/soho/lasco/level_05/c2/20070507/22253252.fts
34	2007-05-08	06:52:30	2007-05-08	07:23:14	90	90	225.494	218.536	4.751	-2.207	4.779	*	*	2007-05-08 06:52:30	2007-05-08 07:23:14	2007-05-08 05:52:30	2007-05-08 06:23:14	2007-05-08 04:52:30	2007-05-08 05:23:14	/gehme/data/soho/lasco/level_05/c2/20070508/22253294.fts	/gehme/data/soho/lasco/level_05/c2/20070508/22253722.fts	/gehme/data/soho/lasco/level_05/c2/20070508/22253717.fts	/gehme/data/soho/lasco/level_05/c2/20070508/22253719.fts
35	2007-05-09	04:22:30	2007-05-09	04:53:14	90	90	213.720	206.643	4.821	-2.256	4.851	2.312	7.153	2007-05-09 04:22:30	2007-05-09 04:53:14	2007-05-09 03:22:30	2007-05-09 03:53:14	2007-05-09 02:22:30	2007-05-09 02:53:14	/gehme/data/soho/lasco/level_05/c2/20070509/22253790.fts	/gehme/data/soho/lasco/level_05/c2/20070509/22253791.fts	/gehme/data/soho/lasco/level_05/c2/20070509/22253784.fts	/gehme/data/soho/lasco/level_05/c2/20070509/22253789.fts
36	2007-05-09	16:22:30	2007-05-09	16:23:14	270	270	207.149	200.005	4.861	-2.283	4.891	2.340	*	2007-05-09 16:22:30	2007-05-09 16:23:14	2007-05-09 15:22:30	2007-05-09 15:23:14	2007-05-09 14:22:30	2007-05-09 14:23:14	/gehme/data/soho/lasco/level_05/c2/20070509/22253827.fts	/gehme/data/soho/lasco/level_05/c2/20070509/22253827.fts	/gehme/data/soho/lasco/level_05/c2/20070509/22253821.fts	/gehme/data/soho/lasco/level_05/c2/20070509/22253821.fts
