no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h
532	2010-11-04	03:08:15	2010-11-04	03:09:13	pH	Halo	21.700	215.676	83.805	-82.219	84.256	81.827	*	2010-11-04 03:08:15	2010-11-04 03:09:13	2010-11-04 02:08:15	2010-11-04 02:09:13	2010-11-04 01:08:15	2010-11-04 01:09:13
533	2010-11-04	09:08:15	2010-11-04	11:09:13	45	270	18.413	212.345	83.814	-82.254	84.264	81.864	*	2010-11-04 09:08:15	2010-11-04 11:09:13	2010-11-04 08:08:15	2010-11-04 10:09:13	2010-11-04 07:08:15	2010-11-04 09:09:13
534	2010-11-08	01:08:15	2010-11-08	00:09:13	315	45	330.738	164.035	83.944	-82.760	84.373	*	*	2010-11-08 01:08:15	2010-11-08 00:09:13	2010-11-08 00:08:15	2010-11-07 23:09:13	2010-11-07 23:08:15	2010-11-07 22:09:13
535	2010-11-09	03:08:15	2010-11-09	04:09:12	45	315	315.956	149.056	83.984	-82.916	84.405	82.563	*	2010-11-09 03:08:15	2010-11-09 04:09:12	2010-11-09 02:08:15	2010-11-09 03:09:12	2010-11-09 01:08:15	2010-11-09 02:09:12
536	2010-11-09	15:08:15	2010-11-09	15:09:12	225	135	309.382	142.395	84.002	-82.985	84.419	*	*	2010-11-09 15:08:15	2010-11-09 15:09:12	2010-11-09 14:08:15	2010-11-09 14:09:12	2010-11-09 13:08:15	2010-11-09 13:09:12
537	2010-11-10	13:08:15	2010-11-10	10:09:12	45	315	298.964	131.839	84.031	-83.094	84.442	82.754	*	2010-11-10 13:08:15	2010-11-10 10:09:12	2010-11-10 12:08:15	2010-11-10 09:09:12	2010-11-10 11:08:15	2010-11-10 08:09:12
538	2010-11-11	11:08:15	2010-11-11	13:09:12	270	90	285.278	117.972	84.068	-83.238	84.471	*	*	2010-11-11 11:08:15	2010-11-11 13:09:12	2010-11-11 10:08:15	2010-11-11 12:09:12	2010-11-11 09:08:15	2010-11-11 11:09:12
539	2010-11-11	18:08:15	2010-11-11	19:09:12	135	225	281.443	114.086	84.079	-83.278	84.479	82.950	*	2010-11-11 18:08:15	2010-11-11 19:09:12	2010-11-11 17:08:15	2010-11-11 18:09:12	2010-11-11 16:08:15	2010-11-11 17:09:12
540	2010-11-12	11:08:15	2010-11-12	11:09:12	135	225	272.130	104.651	84.104	-83.375	84.498	83.055	*	2010-11-12 11:08:15	2010-11-12 11:09:12	2010-11-12 10:08:15	2010-11-12 10:09:12	2010-11-12 09:08:15	2010-11-12 09:09:12
541	2010-11-13	11:08:15	2010-11-13	13:09:12	90	270	258.983	91.330	84.141	-83.512	84.526	83.202	*	2010-11-13 11:08:15	2010-11-13 13:09:12	2010-11-13 10:08:15	2010-11-13 12:09:12	2010-11-13 09:08:15	2010-11-13 11:09:12
542	2010-11-13	20:08:15	2010-11-13	20:09:12	90	270	254.053	86.335	84.155	-83.564	84.536	83.257	*	2010-11-13 20:08:15	2010-11-13 20:09:12	2010-11-13 19:08:15	2010-11-13 19:09:12	2010-11-13 18:08:15	2010-11-13 18:09:12
543	2010-11-14	00:08:15	2010-11-14	02:09:12	270/90	90/225	251.862	84.115	84.161	*	*	*	*	2010-11-14 00:08:15	2010-11-14 02:09:12	2010-11-13 23:08:15	2010-11-14 01:09:12	2010-11-13 22:08:15	2010-11-14 00:09:12
544	2010-11-14	19:08:15	2010-11-14	19:09:12	270	90	241.454	73.570	84.190	-83.694	*	*	*	2010-11-14 19:08:15	2010-11-14 19:09:12	2010-11-14 18:08:15	2010-11-14 18:09:12	2010-11-14 17:08:15	2010-11-14 17:09:12
545	2010-11-15	18:08:15	2010-11-15	18:09:11	90	225	228.856	60.806	84.225	-83.825	84.586	83.540	*	2010-11-15 18:08:15	2010-11-15 18:09:11	2010-11-15 17:08:15	2010-11-15 17:09:11	2010-11-15 16:08:15	2010-11-15 16:09:11
546	2010-11-16	14:08:15	2010-11-16	15:09:11	135	225	217.901	49.708	84.255	-83.938	84.608	83.662	*	2010-11-16 14:08:15	2010-11-16 15:09:11	2010-11-16 13:08:15	2010-11-16 14:09:11	2010-11-16 12:08:15	2010-11-16 13:09:11
547	2010-11-19	05:08:15	2010-11-19	08:09:11	135	225	183.394	14.749	84.353	-84.292	84.675	84.048	*	2010-11-19 05:08:15	2010-11-19 08:09:11	2010-11-19 04:08:15	2010-11-19 07:09:11	2010-11-19 03:08:15	2010-11-19 06:09:11
548	2010-11-20	*	2010-11-20	07:09:11	*	360	169.144	0.314	84.393	-84.437	84.702	84.207	168.908		2010-11-20 07:09:11		2010-11-20 06:09:11		2010-11-20 05:09:11
549	2010-11-22	01:08:15	2010-11-22	03:09:10	360/90	360/270	146.150	337.022	84.458	-84.671	*	*	*	2010-11-22 01:08:15	2010-11-22 03:09:10	2010-11-22 00:08:15	2010-11-22 02:09:10	2010-11-21 23:08:15	2010-11-22 01:09:10
550	2010-11-23	13:08:15	2010-11-23	14:09:10	315	45	126.434	317.051	84.514	-84.870	84.780	*	*	2010-11-23 13:08:15	2010-11-23 14:09:10	2010-11-23 12:08:15	2010-11-23 13:09:10	2010-11-23 11:08:15	2010-11-23 12:09:10
551	2010-11-24	09:08:15	2010-11-24	10:09:10	135	270	115.481	305.956	84.545	-84.980	84.800	84.803	*	2010-11-24 09:08:15	2010-11-24 10:09:10	2010-11-24 08:08:15	2010-11-24 09:09:10	2010-11-24 07:08:15	2010-11-24 08:09:10
552	2010-11-26	00:08:15	2010-11-26	01:09:10	225	135	94.123	284.324	84.605	-85.194	84.837	*	*	2010-11-26 00:08:15	2010-11-26 01:09:10	2010-11-25 23:08:15	2010-11-26 00:09:10	2010-11-25 22:08:15	2010-11-25 23:09:10
553	2010-11-26	11:08:15	2010-11-26	11:09:10	225	135	88.099	278.222	84.622	-85.254	84.847	*	*	2010-11-26 11:08:15	2010-11-26 11:09:10	2010-11-26 10:08:15	2010-11-26 10:09:10	2010-11-26 09:08:15	2010-11-26 09:09:10
554	2010-11-27	04:08:15	2010-11-27	04:09:10	225	135	78.789	268.794	84.648	-85.347	84.863	*	*	2010-11-27 04:08:15	2010-11-27 04:09:10	2010-11-27 03:08:15	2010-11-27 03:09:10	2010-11-27 02:08:15	2010-11-27 02:09:10
555	2010-11-29	07:08:15	2010-11-29	08:09:09	90	270	50.860	240.509	84.727	-85.624	84.909	85.518	*	2010-11-29 07:08:15	2010-11-29 08:09:09	2010-11-29 06:08:15	2010-11-29 07:09:09	2010-11-29 05:08:15	2010-11-29 06:09:09
556	2010-11-29	23:08:15	2010-11-29	23:09:09	135/270	45/225	42.099	231.637	84.751	-85.711	*	*	*	2010-11-29 23:08:15	2010-11-29 23:09:09	2010-11-29 22:08:15	2010-11-29 22:09:09	2010-11-29 21:08:15	2010-11-29 21:09:09
557	2010-11-30	22:08:15	2010-11-30	23:09:09	90	270	29.504	218.883	84.786	-85.835	84.944	85.752	*	2010-11-30 22:08:15	2010-11-30 23:09:09	2010-11-30 21:08:15	2010-11-30 22:09:09	2010-11-30 20:08:15	2010-11-30 21:09:09
558	2010-12-02	13:08:15	2010-12-02	16:09:09	270	90	8.148	197.258	84.845	-86.045	*	*	*	2010-12-02 13:08:15	2010-12-02 16:09:09	2010-12-02 12:08:15	2010-12-02 15:09:09	2010-12-02 11:08:15	2010-12-02 14:09:09
559	2010-12-05	05:08:15	2010-12-05	07:09:08	270	90	333.104	161.775	84.942	-86.386	85.031	*	*	2010-12-05 05:08:15	2010-12-05 07:09:08	2010-12-05 04:08:15	2010-12-05 06:09:08	2010-12-05 03:08:15	2010-12-05 05:09:08
560	2010-12-06	17:08:15	2010-12-06	16:09:08	315	45	313.930	142.364	84.995	-86.572	85.059	*	*	2010-12-06 17:08:15	2010-12-06 16:09:08	2010-12-06 16:08:15	2010-12-06 15:09:08	2010-12-06 15:08:15	2010-12-06 14:09:08
561	2010-12-07	00:08:15	2010-12-06	23:09:08	135	225	310.098	138.484	85.005	-86.609	85.065	86.617	*	2010-12-07 00:08:15	2010-12-06 23:09:08	2010-12-06 23:08:15	2010-12-06 22:09:08	2010-12-06 22:08:15	2010-12-06 21:09:08
562	2010-12-07	17:08:15	2010-12-07	19:09:07	90	270	300.251	128.516	85.032	-86.703	85.079	86.723	*	2010-12-07 17:08:15	2010-12-07 19:09:07	2010-12-07 16:08:15	2010-12-07 18:09:07	2010-12-07 15:08:15	2010-12-07 17:09:07
563	2010-12-08	15:08:15	2010-12-08	16:09:07	45	315	288.205	116.322	85.065	-86.818	85.097	86.853	*	2010-12-08 15:08:15	2010-12-08 16:09:07	2010-12-08 14:08:15	2010-12-08 15:09:07	2010-12-08 13:08:15	2010-12-08 14:09:07
564	2010-12-10	12:08:15	2010-12-10	14:09:07	315	45	263.567	91.382	85.132	-87.053	85.133	*	*	2010-12-10 12:08:15	2010-12-10 14:09:07	2010-12-10 11:08:15	2010-12-10 13:09:07	2010-12-10 10:08:15	2010-12-10 12:09:07
565	2010-12-11	08:08:15	2010-12-11	17:09:07	270	45	252.616	80.298	85.162	-87.156	85.149	*	*	2010-12-11 08:08:15	2010-12-11 17:09:07	2010-12-11 07:08:15	2010-12-11 16:09:07	2010-12-11 06:08:15	2010-12-11 15:09:07
566a	2010-12-12	08:08:15	2010-12-12	10:09:06	45/135	225/315	239.476	66.999	85.198	-87.280	85.168	87.370	172.538	2010-12-12 08:08:15	2010-12-12 10:09:06	2010-12-12 07:08:15	2010-12-12 09:09:06	2010-12-12 06:08:15	2010-12-12 08:09:06
566b	2010-12-12	*	2010-12-12	*	*	*	*	*	*	*	*	*	*						
567	2010-12-12	17:08:15	2010-12-12	19:09:06	135	225	234.549	62.012	85.211	-87.326	*	*	*	2010-12-12 17:08:15	2010-12-12 19:09:06	2010-12-12 16:08:15	2010-12-12 18:09:06	2010-12-12 15:08:15	2010-12-12 17:09:06
568a	2010-12-14	18:08:15	2010-12-14	19:09:06	45	315	207.721	34.862	85.283	-87.575	85.214	87.702	172.916	2010-12-14 18:08:15	2010-12-14 19:09:06	2010-12-14 17:08:15	2010-12-14 18:09:06	2010-12-14 16:08:15	2010-12-14 17:09:06
568b	2010-12-14	*	2010-12-14	*	*	*	*	*	*	*	*	*	*						
569	2010-12-15	20:08:15	2010-12-15	21:09:06	90	270	193.486	20.458	85.322	-87.707	85.234	87.850	*	2010-12-15 20:08:15	2010-12-15 21:09:06	2010-12-15 19:08:15	2010-12-15 20:09:06	2010-12-15 18:08:15	2010-12-15 19:09:06
570	2010-12-16	11:08:15	2010-12-16	13:09:05	45	315	185.274	12.148	85.344	-87.782	85.246	87.935	*	2010-12-16 11:08:15	2010-12-16 13:09:05	2010-12-16 10:08:15	2010-12-16 12:09:05	2010-12-16 09:08:15	2010-12-16 11:09:05
571	2010-12-19	11:08:15	2010-12-19	09:09:05	90/315	270/45	146.941	333.364	*	*	*	*	*	2010-12-19 11:08:15	2010-12-19 09:09:05	2010-12-19 10:08:15	2010-12-19 08:09:05	2010-12-19 09:08:15	2010-12-19 07:09:05
572	2010-12-20	17:08:15	2010-12-20	19:09:04	45	315	129.431	315.650	85.492	-88.289	85.327	88.502	*	2010-12-20 17:08:15	2010-12-20 19:09:04	2010-12-20 16:08:15	2010-12-20 18:09:04	2010-12-20 15:08:15	2010-12-20 17:09:04
573	2010-12-21	07:08:15	2010-12-21	08:09:04	90	270	121.766	307.896	85.512	-88.357	85.338	88.579	*	2010-12-21 07:08:15	2010-12-21 08:09:04	2010-12-21 06:08:15	2010-12-21 07:09:04	2010-12-21 05:08:15	2010-12-21 06:09:04
574	2010-12-23	12:08:15	2010-12-23	13:09:04	90	270	92.750	278.547	85.588	-88.615	85.380	88.867	*	2010-12-23 12:08:15	2010-12-23 13:09:04	2010-12-23 11:08:15	2010-12-23 12:09:04	2010-12-23 10:08:15	2010-12-23 11:09:04
575	2010-12-24	16:08:15	2010-12-24	16:09:03	90	270	77.421	263.043	85.627	-88.750	85.403	89.017	*	2010-12-24 16:08:15	2010-12-24 16:09:03	2010-12-24 15:08:15	2010-12-24 15:09:03	2010-12-24 14:08:15	2010-12-24 14:09:03
576	2010-12-26	09:08:15	2010-12-26	10:09:03	225	135	54.975	240.344	85.684	-88.946	85.435	*	*	2010-12-26 09:08:15	2010-12-26 10:09:03	2010-12-26 08:08:15	2010-12-26 09:09:03	2010-12-26 07:08:15	2010-12-26 08:09:03
577	2010-12-27	05:08:15	2010-12-27	05:09:03	225/90	270/135	44.026	229.272	85.712	-89.042	*	*	*	2010-12-27 05:08:15	2010-12-27 05:09:03	2010-12-27 04:08:15	2010-12-27 04:09:03	2010-12-27 03:08:15	2010-12-27 03:09:03
578	2010-12-29	02:08:15	2010-12-29	05:09:02	315	45	19.390	204.362	85.773	-89.254	85.487	*	*	2010-12-29 02:08:15	2010-12-29 05:09:02	2010-12-29 01:08:15	2010-12-29 04:09:02	2010-12-29 00:08:15	2010-12-29 03:09:02
579	2010-12-29	23:08:15	2010-12-30	00:09:02	0	0	7.893	192.739	85.801	-89.353	85.504	89.685	*	2010-12-29 23:08:15	2010-12-30 00:09:02	2010-12-29 22:08:15	2010-12-29 23:09:02	2010-12-29 21:08:15	2010-12-29 22:09:02
580	2010-12-30	21:08:15	2010-12-31	03:09:02	45/315	45/315	355.849	180.563	85.830	-89.456	*	*	*	2010-12-30 21:08:15	2010-12-31 03:09:02	2010-12-30 20:08:15	2010-12-31 02:09:02	2010-12-30 19:08:15	2010-12-31 01:09:02
581	2010-12-31	11:08:15	2010-12-31	13:09:01	315	45	348.184	172.815	85.848	-89.521	85.533	*	*	2010-12-31 11:08:15	2010-12-31 13:09:01	2010-12-31 10:08:15	2010-12-31 12:09:01	2010-12-31 09:08:15	2010-12-31 11:09:01
582	2011-01-02	18:08:15	2011-01-02	19:09:01	270	90	*	*	*	*	*	*	*	2011-01-02 18:08:15	2011-01-02 19:09:01	2011-01-02 17:08:15	2011-01-02 18:09:01	2011-01-02 16:08:15	2011-01-02 17:09:01
583	2011-01-04	07:08:15	2011-01-04	07:09:00	270	90	*	*	*	*	*	*	*	2011-01-04 07:08:15	2011-01-04 07:09:00	2011-01-04 06:08:15	2011-01-04 06:09:00	2011-01-04 05:08:15	2011-01-04 05:09:00
584	2011-01-06	15:08:15	2011-01-06	15:09:00	270	90	*	*	*	*	*	*	*	2011-01-06 15:08:15	2011-01-06 15:09:00	2011-01-06 14:08:15	2011-01-06 14:09:00	2011-01-06 13:08:15	2011-01-06 13:09:00
585	2011-01-07	22:08:15	2011-01-08	00:08:59	270	90	*	*	*	*	*	*	*	2011-01-07 22:08:15	2011-01-08 00:08:59	2011-01-07 21:08:15	2011-01-07 23:08:59	2011-01-07 20:08:15	2011-01-07 22:08:59
586	2011-01-08	04:08:15	2011-01-08	10:08:59	90	270	*	*	*	*	*	*	*	2011-01-08 04:08:15	2011-01-08 10:08:59	2011-01-08 03:08:15	2011-01-08 09:08:59	2011-01-08 02:08:15	2011-01-08 08:08:59
587	2011-01-09	23:08:15	2011-01-10	01:08:59	45	315	*	*	*	*	*	*	*	2011-01-09 23:08:15	2011-01-10 01:08:59	2011-01-09 22:08:15	2011-01-10 00:08:59	2011-01-09 21:08:15	2011-01-09 23:08:59
588	2011-01-11	00:08:15	2011-01-11	01:08:58	270	90	*	*	*	*	*	*	*	2011-01-11 00:08:15	2011-01-11 01:08:58	2011-01-10 23:08:15	2011-01-11 00:08:58	2011-01-10 22:08:15	2011-01-10 23:08:58
589	2011-01-12	00:08:15	2011-01-12	00:08:58	315	45	*	*	*	*	*	*	*	2011-01-12 00:08:15	2011-01-12 00:08:58	2011-01-11 23:08:15	2011-01-11 23:08:58	2011-01-11 22:08:15	2011-01-11 22:08:58
590	2011-01-12	10:08:15	2011-01-12	11:08:58	90/270	90/270	*	*	*	*	*	*	*	2011-01-12 10:08:15	2011-01-12 11:08:58	2011-01-12 09:08:15	2011-01-12 10:08:58	2011-01-12 08:08:15	2011-01-12 09:08:58
591	2011-01-13	02:08:15	2011-01-13	*	135	*	*	*	*	*	*	*	*	2011-01-13 02:08:15		2011-01-13 01:08:15		2011-01-13 00:08:15	
592	2011-01-13	10:08:15	2011-01-13	10:08:58	360	360	*	*	*	*	*	*	*	2011-01-13 10:08:15	2011-01-13 10:08:58	2011-01-13 09:08:15	2011-01-13 09:08:58	2011-01-13 08:08:15	2011-01-13 08:08:58
593	2011-01-14	05:08:15	2011-01-14	06:08:58	360	360	*	*	*	*	*	*	*	2011-01-14 05:08:15	2011-01-14 06:08:58	2011-01-14 04:08:15	2011-01-14 05:08:58	2011-01-14 03:08:15	2011-01-14 04:08:58
594	2011-01-16	19:08:15	2011-01-16	20:08:57	90	270	*	*	*	*	*	*	*	2011-01-16 19:08:15	2011-01-16 20:08:57	2011-01-16 18:08:15	2011-01-16 19:08:57	2011-01-16 17:08:15	2011-01-16 18:08:57
595	2011-01-18	05:08:15	2011-01-18	05:08:57	315	45	*	*	*	*	*	*	*	2011-01-18 05:08:15	2011-01-18 05:08:57	2011-01-18 04:08:15	2011-01-18 04:08:57	2011-01-18 03:08:15	2011-01-18 03:08:57
596	2011-01-19	16:08:15	2011-01-19	19:08:57	90	270	*	*	*	*	*	*	*	2011-01-19 16:08:15	2011-01-19 19:08:57	2011-01-19 15:08:15	2011-01-19 18:08:57	2011-01-19 14:08:15	2011-01-19 17:08:57
597	2011-01-20	12:08:15	2011-01-20	14:08:57	225	135	*	*	*	*	*	*	*	2011-01-20 12:08:15	2011-01-20 14:08:57	2011-01-20 11:08:15	2011-01-20 13:08:57	2011-01-20 10:08:15	2011-01-20 12:08:57
598	2011-01-21	14:08:15	2011-01-21	22:08:55	45	315	*	*	*	*	*	*	*	2011-01-21 14:08:15	2011-01-21 22:08:55	2011-01-21 13:08:15	2011-01-21 21:08:55	2011-01-21 12:08:15	2011-01-21 20:08:55
599	2011-01-22	08:08:15	2011-01-22	11:08:55	90	270	*	*	*	*	*	*	*	2011-01-22 08:08:15	2011-01-22 11:08:55	2011-01-22 07:08:15	2011-01-22 10:08:55	2011-01-22 06:08:15	2011-01-22 09:08:55
600	2011-01-22	15:08:15	2011-01-22	16:08:55	0	0	*	*	*	*	*	*	*	2011-01-22 15:08:15	2011-01-22 16:08:55	2011-01-22 14:08:15	2011-01-22 15:08:55	2011-01-22 13:08:15	2011-01-22 14:08:55
601	2011-01-23	04:08:15	2011-01-23	04:08:55	360	360	*	*	*	*	*	*	*	2011-01-23 04:08:15	2011-01-23 04:08:55	2011-01-23 03:08:15	2011-01-23 03:08:55	2011-01-23 02:08:15	2011-01-23 02:08:55
602	2011-01-24	00:08:15	2011-01-24	01:08:55	270	90	*	*	*	*	*	*	*	2011-01-24 00:08:15	2011-01-24 01:08:55	2011-01-23 23:08:15	2011-01-24 00:08:55	2011-01-23 22:08:15	2011-01-23 23:08:55
603	2011-01-24	04:08:15	2011-01-24	05:08:55	90	270	*	*	*	*	*	*	*	2011-01-24 04:08:15	2011-01-24 05:08:55	2011-01-24 03:08:15	2011-01-24 04:08:55	2011-01-24 02:08:15	2011-01-24 03:08:55
604	2011-01-25	06:08:15	2011-01-25	07:08:54	315	45	*	*	*	*	*	*	*	2011-01-25 06:08:15	2011-01-25 07:08:54	2011-01-25 05:08:15	2011-01-25 06:08:54	2011-01-25 04:08:15	2011-01-25 05:08:54
605	2011-01-25	10:08:15	2011-01-25	12:08:54	45	315	*	*	*	*	*	*	*	2011-01-25 10:08:15	2011-01-25 12:08:54	2011-01-25 09:08:15	2011-01-25 11:08:54	2011-01-25 08:08:15	2011-01-25 10:08:54
606	2011-01-26	02:08:15	2011-01-26	03:08:54	45	315	*	*	*	*	*	*	*	2011-01-26 02:08:15	2011-01-26 03:08:54	2011-01-26 01:08:15	2011-01-26 02:08:54	2011-01-26 00:08:15	2011-01-26 01:08:54
607	2011-01-27	22:08:15	2011-01-27	23:08:53	315	45	*	*	*	*	*	*	*	2011-01-27 22:08:15	2011-01-27 23:08:53	2011-01-27 21:08:15	2011-01-27 22:08:53	2011-01-27 20:08:15	2011-01-27 21:08:53
608	2011-01-28	02:08:15	2011-01-28	02:08:53	315	45	*	*	*	*	*	*	*	2011-01-28 02:08:15	2011-01-28 02:08:53	2011-01-28 01:08:15	2011-01-28 01:08:53	2011-01-28 00:08:15	2011-01-28 00:08:53
609	2011-01-29	03:08:15	2011-01-29	03:08:53	315	45	*	*	*	*	*	*	*	2011-01-29 03:08:15	2011-01-29 03:08:53	2011-01-29 02:08:15	2011-01-29 02:08:53	2011-01-29 01:08:15	2011-01-29 01:08:53
610	2011-01-29	10:08:15	2011-01-29	11:08:53	270	90	*	*	*	*	*	*	*	2011-01-29 10:08:15	2011-01-29 11:08:53	2011-01-29 09:08:15	2011-01-29 10:08:53	2011-01-29 08:08:15	2011-01-29 09:08:53
611	2011-01-29	14:08:15	2011-01-29	15:08:53	90/315	270/45	*	*	*	*	*	*	*	2011-01-29 14:08:15	2011-01-29 15:08:53	2011-01-29 13:08:15	2011-01-29 14:08:53	2011-01-29 12:08:15	2011-01-29 13:08:53
612	2011-01-30	10:08:15	2011-01-30	10:08:53	135/45	225/315	*	*	*	*	*	*	*	2011-01-30 10:08:15	2011-01-30 10:08:53	2011-01-30 09:08:15	2011-01-30 09:08:53	2011-01-30 08:08:15	2011-01-30 08:08:53
613	2011-01-31	17:08:15	2011-01-31	18:08:52	315	45	*	*	*	*	*	*	*	2011-01-31 17:08:15	2011-01-31 18:08:52	2011-01-31 16:08:15	2011-01-31 17:08:52	2011-01-31 15:08:15	2011-01-31 16:08:52
614	2011-02-01	21:08:15	2011-02-01	22:08:52	315	45	*	*	*	*	*	*	*	2011-02-01 21:08:15	2011-02-01 22:08:52	2011-02-01 20:08:15	2011-02-01 21:08:52	2011-02-01 19:08:15	2011-02-01 20:08:52
615	2011-02-02	03:08:15	2011-02-02	03:08:52	315	45	*	*	*	*	*	*	*	2011-02-02 03:08:15	2011-02-02 03:08:52	2011-02-02 02:08:15	2011-02-02 02:08:52	2011-02-02 01:08:15	2011-02-02 01:08:52
616	2011-02-03	05:08:15	2011-02-03	08:08:52	270	90	*	*	*	*	*	*	*	2011-02-03 05:08:15	2011-02-03 08:08:52	2011-02-03 04:08:15	2011-02-03 07:08:52	2011-02-03 03:08:15	2011-02-03 06:08:52
617	2011-02-05	02:08:15	2011-02-05	03:08:51	315	45	*	*	*	*	*	*	*	2011-02-05 02:08:15	2011-02-05 03:08:51	2011-02-05 01:08:15	2011-02-05 02:08:51	2011-02-05 00:08:15	2011-02-05 01:08:51
618	2011-02-09	04:08:15	2011-02-09	05:08:50	90	270	*	*	*	*	*	*	*	2011-02-09 04:08:15	2011-02-09 05:08:50	2011-02-09 03:08:15	2011-02-09 04:08:50	2011-02-09 02:08:15	2011-02-09 03:08:50
619	2011-02-09	17:08:15	2011-02-09	18:08:50	270	90	*	*	*	*	*	*	*	2011-02-09 17:08:15	2011-02-09 18:08:50	2011-02-09 16:08:15	2011-02-09 17:08:50	2011-02-09 15:08:15	2011-02-09 16:08:50
620	2011-02-10	03:08:15	2011-02-10	04:08:50	270	90	*	*	*	*	*	*	*	2011-02-10 03:08:15	2011-02-10 04:08:50	2011-02-10 02:08:15	2011-02-10 03:08:50	2011-02-10 01:08:15	2011-02-10 02:08:50
621	2011-02-13	19:08:15	2011-02-13	19:08:48	90	270	*	*	*	*	*	*	*	2011-02-13 19:08:15	2011-02-13 19:08:48	2011-02-13 18:08:15	2011-02-13 18:08:48	2011-02-13 17:08:15	2011-02-13 17:08:48
622	2011-02-14	18:08:15	2011-02-14	19:08:48	90	270	*	*	*	*	*	*	*	2011-02-14 18:08:15	2011-02-14 19:08:48	2011-02-14 17:08:15	2011-02-14 18:08:48	2011-02-14 16:08:15	2011-02-14 17:08:48
623	2011-02-15	02:08:15	2011-02-15	03:08:48	90	270	*	*	*	*	*	*	*	2011-02-15 02:08:15	2011-02-15 03:08:48	2011-02-15 01:08:15	2011-02-15 02:08:48	2011-02-15 00:08:15	2011-02-15 01:08:48
624	2011-02-16	05:08:15	2011-02-16	04:08:48	45	315	*	*	*	*	*	*	*	2011-02-16 05:08:15	2011-02-16 04:08:48	2011-02-16 04:08:15	2011-02-16 03:08:48	2011-02-16 03:08:15	2011-02-16 02:08:48
625	2011-02-17	03:08:15	2011-02-17	04:08:48	45	315	*	*	*	*	*	*	*	2011-02-17 03:08:15	2011-02-17 04:08:48	2011-02-17 02:08:15	2011-02-17 03:08:48	2011-02-17 01:08:15	2011-02-17 02:08:48
626	2011-02-18	19:08:15	2011-02-18	19:08:47	315/90	45	*	*	*	*	*	*	*	2011-02-18 19:08:15	2011-02-18 19:08:47	2011-02-18 18:08:15	2011-02-18 18:08:47	2011-02-18 17:08:15	2011-02-18 17:08:47
627	2011-02-20	18:08:15	2011-02-20	18:08:47	270	90	*	*	*	*	*	*	*	2011-02-20 18:08:15	2011-02-20 18:08:47	2011-02-20 17:08:15	2011-02-20 17:08:47	2011-02-20 16:08:15	2011-02-20 16:08:47
628	2011-02-24	10:08:15	2011-02-24	11:08:46	180	90	*	*	*	*	*	*	*	2011-02-24 10:08:15	2011-02-24 11:08:46	2011-02-24 09:08:15	2011-02-24 10:08:46	2011-02-24 08:08:15	2011-02-24 09:08:46
629	2011-02-25	09:08:15	2011-02-25	09:08:45	45	315	*	*	*	*	*	*	*	2011-02-25 09:08:15	2011-02-25 09:08:45	2011-02-25 08:08:15	2011-02-25 08:08:45	2011-02-25 07:08:15	2011-02-25 07:08:45
630	2011-02-25	18:08:15	2011-02-25	21:08:45	90	270	*	*	*	*	*	*	*	2011-02-25 18:08:15	2011-02-25 21:08:45	2011-02-25 17:08:15	2011-02-25 20:08:45	2011-02-25 16:08:15	2011-02-25 19:08:45
631	2011-02-26	17:08:15	2011-02-26	17:08:45	315	45	*	*	*	*	*	*	*	2011-02-26 17:08:15	2011-02-26 17:08:45	2011-02-26 16:08:15	2011-02-26 16:08:45	2011-02-26 15:08:15	2011-02-26 15:08:45
632	2011-02-27	04:08:15	2011-02-27	05:08:45	90	270	*	*	*	*	*	*	*	2011-02-27 04:08:15	2011-02-27 05:08:45	2011-02-27 03:08:15	2011-02-27 04:08:45	2011-02-27 02:08:15	2011-02-27 03:08:45
633	2011-02-27	19:08:15	2011-02-27	19:08:45	315	45	*	*	*	*	*	*	*	2011-02-27 19:08:15	2011-02-27 19:08:45	2011-02-27 18:08:15	2011-02-27 18:08:45	2011-02-27 17:08:15	2011-02-27 17:08:45
634	2011-03-02	01:08:15	2011-03-02	03:08:44	135	225	*	*	*	*	*	*	*	2011-03-02 01:08:15	2011-03-02 03:08:44	2011-03-02 00:08:15	2011-03-02 02:08:44	2011-03-01 23:08:15	2011-03-02 01:08:44
635	2011-03-03	04:08:15	2011-03-03	06:08:44	135	225	*	*	*	*	*	*	*	2011-03-03 04:08:15	2011-03-03 06:08:44	2011-03-03 03:08:15	2011-03-03 05:08:44	2011-03-03 02:08:15	2011-03-03 04:08:44
636	2011-03-03	23:08:15	2011-03-03	23:08:44	45/90	270/315	*	*	*	*	*	*	*	2011-03-03 23:08:15	2011-03-03 23:08:44	2011-03-03 22:08:15	2011-03-03 22:08:44	2011-03-03 21:08:15	2011-03-03 21:08:44
637	2011-03-04	10:08:15	2011-03-04	10:08:44	360	360	*	*	*	*	*	*	*	2011-03-04 10:08:15	2011-03-04 10:08:44	2011-03-04 09:08:15	2011-03-04 09:08:44	2011-03-04 08:08:15	2011-03-04 08:08:44
